"xm1","ym1","zm1"
1056,7467,9
486,7520,9
816,7587,9
1329,7590,9
717,7637,9
835,7663,9
942,7671,9
464,7684,9
792,7691,9
384,7715,9
412,7760,9
220,7778,9
454,7823,9
101,7839,9
655,7863,9
273,7904,9
1033,7904,9
416,7907,9
471,7913,9
1077,7930,9
499,7950,9
832,7986,9
445,8037,9
211,8040,9
72,8094,9
436,8100,9
323,8144,9
1278,8145,9
635,8150,9
1280,8163,9
1289,8191,9
779,8207,9
1011,8246,9
244,8288,9
349,8308,9
751,8312,9
141,8333,9
251,8376,9
262,8385,9
793,8415,9
460,8473,9
57,8482,9
1306,8508,9
857,8533,9
490,8556,9
1228,8569,9
464,8622,9
490,8691,9
471,8714,9
556,8889,9
153,9276,9
157,9287,9
1328,9475,9
328,9493,9
403,9516,9
416,9577,9
1206,9591,9
477,9601,9
975,9764,9
1136,9813,9
338,9976,9
809,10002,9
293,10119,9
421,10144,9
693,10155,9
835,10176,9
574,10227,9
970,10261,9
389,10293,9
1102,10316,9
539,10347,9
143,10379,9
144,10508,9
545,10727,9
1294,10753,9
445,10833,9
442,10847,9
205,10913,9
936,11135,9
246,11136,9
72,11464,9
55,11494,9
152,11542,9
563,11672,9
487,11680,9
666,11735,9
1174,11791,9
183,11831,9
1146,11844,9
1245,11920,9
281,11941,9
654,11966,9
248,11993,9
132,12021,9
971,12042,9
617,12188,9
292,12258,9
518,12312,9
984,12341,9
1227,12344,9
225,12405,9
98,12413,9
1082,12426,9
619,12440,9
882,12488,9
850,12495,9
907,12508,9
1179,12525,9
1229,12549,9
599,12567,9
464,12613,9
363,12666,9
989,12688,9
223,12690,9
874,12699,9
1234,12723,9
763,12724,9
867,12751,9
120,12840,9
653,12871,9
1033,12899,9
424,12901,9
954,12944,9
853,258,10
1318,360,10
1325,400,10
1012,417,10
684,463,10
1352,486,10
705,508,10
428,514,10
740,647,10
546,658,10
854,661,10
695,680,10
671,694,10
176,772,10
924,825,10
666,858,10
915,872,10
336,909,10
211,965,10
1326,1095,10
1149,1155,10
922,1169,10
499,1174,10
1408,1187,10
124,1188,10
465,1188,10
111,1195,10
1430,1212,10
1076,1262,10
1120,1270,10
282,1350,10
292,1376,10
216,1386,10
1100,1412,10
591,1433,10
1162,1496,10
666,1538,10
211,1593,10
868,1611,10
1302,1614,10
379,1641,10
208,1669,10
1360,1702,10
1404,1738,10
1403,1798,10
356,1802,10
1323,1877,10
379,1881,10
816,1883,10
800,1885,10
758,1895,10
353,1898,10
586,2104,10
1363,2106,10
746,2144,10
1047,2154,10
762,2160,10
1062,2181,10
855,2245,10
989,2288,10
1040,2292,10
297,2321,10
479,2358,10
335,2365,10
333,2403,10
941,2453,10
986,2472,10
1318,2522,10
130,2556,10
424,2561,10
143,2570,10
1049,2707,10
1293,2765,10
790,2777,10
223,2813,10
955,2902,10
968,2945,10
1381,2961,10
923,2985,10
1363,3107,10
81,3138,10
736,3223,10
1218,3344,10
938,3353,10
1017,3386,10
517,3403,10
1184,3427,10
311,3440,10
223,3505,10
1034,3574,10
420,3614,10
899,3617,10
947,3660,10
1415,3671,10
281,3704,10
906,3708,10
400,3725,10
341,3754,10
153,3791,10
246,3841,10
180,3860,10
964,3881,10
203,4021,10
955,4034,10
125,4036,10
716,4041,10
1320,4044,10
568,4045,10
467,4079,10
603,4089,10
544,4120,10
1121,4157,10
964,4173,10
607,4186,10
946,4210,10
306,4233,10
1275,4271,10
213,4364,10
1204,4382,10
1206,4409,10
1256,4434,10
507,4494,10
500,4581,10
1333,4610,10
765,4632,10
1072,4660,10
60,4665,10
1070,4685,10
671,4714,10
1414,4717,10
1355,4725,10
117,4772,10
282,4799,10
298,4814,10
375,4836,10
1199,4947,10
978,4963,10
1047,4968,10
1278,4976,10
607,4996,10
617,5020,10
918,5042,10
507,5059,10
1434,5105,10
1009,5114,10
433,5219,10
840,5282,10
1009,5284,10
358,5288,10
919,5301,10
783,5315,10
775,5316,10
276,5325,10
1009,5330,10
885,5343,10
1408,5370,10
432,5379,10
47,5413,10
160,5433,10
263,5482,10
723,5491,10
349,5513,10
1198,5551,10
1382,5577,10
1009,5599,10
963,5617,10
1103,5626,10
1289,5635,10
508,5648,10
474,5667,10
1252,5693,10
1396,5693,10
597,5715,10
825,5745,10
1066,5749,10
1406,5788,10
812,5793,10
681,5795,10
987,5796,10
789,5849,10
513,5850,10
600,5879,10
146,5899,10
544,5908,10
1052,5913,10
662,5931,10
1038,5985,10
114,5988,10
453,5991,10
861,6008,10
1399,6027,10
736,6033,10
378,6045,10
306,6080,10
750,6081,10
188,6087,10
1366,6142,10
195,6148,10
88,6178,10
147,6179,10
1163,6217,10
648,6237,10
113,6240,10
472,6272,10
1405,6275,10
74,6289,10
428,6292,10
260,6296,10
175,6315,10
764,6328,10
1249,6338,10
576,6347,10
958,6355,10
994,6411,10
1253,6418,10
781,6453,10
826,6504,10
409,6561,10
1056,6603,10
791,6643,10
274,6719,10
1196,6752,10
1149,6762,10
1341,6800,10
840,6884,10
270,6894,10
1208,6899,10
886,6908,10
160,6921,10
950,6996,10
485,7000,10
845,7070,10
165,7079,10
234,7095,10
85,7104,10
423,7116,10
683,7142,10
960,7172,10
981,7173,10
1152,7182,10
1048,7209,10
866,7223,10
1023,7278,10
199,7295,10
469,7328,10
68,7340,10
588,7352,10
98,7450,10
807,7496,10
1159,7497,10
1022,7528,10
995,7533,10
851,7549,10
1047,7606,10
619,7620,10
938,7672,10
362,7674,10
189,7694,10
955,7703,10
1096,7703,10
258,7715,10
651,7720,10
293,7812,10
1277,7812,10
907,7876,10
478,7930,10
429,7988,10
1298,8016,10
883,8018,10
517,8063,10
889,8084,10
933,8158,10
1380,8166,10
857,8173,10
597,8259,10
471,8262,10
607,8264,10
1282,8266,10
795,8274,10
118,8325,10
290,8366,10
351,8423,10
221,8437,10
312,8441,10
310,8464,10
921,8466,10
287,8483,10
423,8502,10
702,8505,10
473,8543,10
564,8569,10
787,8589,10
532,8612,10
558,8629,10
560,8635,10
977,8666,10
934,8668,10
758,8674,10
1291,8751,10
293,8789,10
320,8821,10
575,8838,10
806,8847,10
322,8858,10
795,8859,10
755,8867,10
59,8878,10
949,8919,10
1009,8924,10
1314,8974,10
140,8983,10
472,9023,10
424,9039,10
170,9075,10
415,9103,10
440,9122,10
490,9135,10
1088,9157,10
993,9182,10
914,9186,10
1236,9197,10
175,9256,10
1335,9276,10
414,9284,10
830,9301,10
1206,9303,10
202,9354,10
876,9407,10
992,9435,10
1070,9435,10
438,9457,10
500,9544,10
351,9569,10
517,9621,10
1075,9677,10
271,9775,10
334,9787,10
131,9801,10
1309,9830,10
281,9847,10
664,9948,10
283,9956,10
1113,10017,10
339,10109,10
93,10247,10
320,10277,10
806,10324,10
863,10345,10
117,10412,10
207,10412,10
307,10417,10
1043,10452,10
640,10501,10
1315,10526,10
1271,10572,10
1183,10579,10
882,10628,10
460,10788,10
373,10823,10
231,10864,10
1007,10886,10
490,10977,10
1193,11012,10
134,11512,10
283,11634,10
75,11643,10
637,11657,10
186,11671,10
447,11699,10
136,11710,10
1210,11812,10
1038,11862,10
459,11870,10
1056,11979,10
307,11980,10
904,12027,10
942,12087,10
569,12134,10
640,12228,10
160,12264,10
939,12346,10
436,12372,10
881,12372,10
1009,12375,10
526,12377,10
853,12387,10
1056,12391,10
1084,12447,10
165,12590,10
1033,12654,10
1044,12743,10
46,12747,10
65,12770,10
661,12796,10
368,12802,10
73,12805,10
575,12818,10
352,12834,10
44,12846,10
1268,12870,10
209,12925,10
528,12929,10
271,12932,10
358,12938,10
167,12953,10
1340,122,11
1328,191,11
1076,243,11
903,282,11
1037,287,11
1475,301,11
660,352,11
631,394,11
