"synapsinR_7thA","synapsinGP_5thA","VGluT1_3rdA","VGluT1_8thA","VGluT2_2ndA","psd_8thA","GluR2_2ndA","NMDAR1_6thA","NR2B_9thA","NOS_9thA","Synpod_3rdA","GAD_6thA","VGAT_5thA","PV_1stA","gephyrin_1stA","GABARa1_4thA","GABABR1_3rdA","VGluT3_1stA","CR1_2ndA","TH_5thA","VAChT_4thA","tubulin_8thA","dapi_1stA"
919845,1239603,1732814,2302612,739298,1279578,2081493,1939569,1292096,1590247,535393,954228,835773,1221759,823356,883343,1508550,1766784,1655450,1284961,731151,715722,826104
1185922,1510760,1551268,2077749,737357,1520868,2045181,1971916,1388748,1615718,700891,1082991,958190,1069874,777010,934767,1366791,1788446,1669518,1362812,882008,859559,815723
612065,1068278,1034723,1508200,623639,1110537,1661192,1474341,853162,1083853,414972,1038969,855664,831984,811127,706489,993639,1400675,1349717,1148231,715255,1119806,646093
1379779,1654808,1951624,2218332,782354,1455517,2274960,1675385,1210941,1512797,635996,732678,983073,1195794,793757,926343,1407403,1735460,1424250,1266853,699496,856958,821020
1187595,1495057,1742435,2448460,738312,1559294,2070814,1901106,1591058,1668187,582447,971228,905361,1119155,803889,994350,1568636,1806489,1480052,1343132,771282,675622,848656
987703,1442971,1898432,2515044,710904,1309078,1894389,1545853,1231033,1548102,646338,956409,1018498,1218090,1039858,905369,1548498,1800217,1886708,1372030,825106,880323,832909
1174636,1654681,1698172,2252618,795394,1610929,2719235,1573967,1163539,1476302,753171,831239,775975,1221369,793700,902153,1503969,1765003,1578577,1367152,733055,1179311,861328
1140253,1493962,1758438,2449096,744148,1362973,1900073,1833160,1490185,1541461,750039,1086088,924203,1269584,913144,887135,1433542,1799465,1565578,1325819,857449,1080519,842982
1176520,1475741,1291161,1881239,713541,1332802,1673427,1520158,1188372,1521278,524715,1796001,1128993,1272841,822777,878072,1410168,1688405,1452108,1228880,707127,2093836,797354
1038846,1431845,1803400,2453641,735381,1171190,2086945,1576161,1334145,1525148,457483,1058386,981791,1225879,1005530,837292,1509114,1771255,1647201,1227648,783089,1053578,811439
996274,1435048,1611996,2062695,730792,1338172,2304711,1541309,1209891,1414691,523025,932336,1001345,1109378,821615,827331,1372565,1728187,1504237,1293579,682419,944591,780575
2004808,1695283,1937971,2720265,696815,1341167,1889961,1801168,1252816,1392155,496415,1352488,1187431,1227627,908793,800985,1331976,1632683,1402453,1296079,691192,788485,769852
1336321,1460727,1802596,2194945,681563,1452134,1615304,1541909,1295468,1425829,978585,1094021,918980,1170691,753847,796466,1361986,1642939,1520940,1307584,1163013,779844,779395
748016,1025099,992315,1816575,485432,1274818,1313127,1025263,667271,693057,268433,451525,600874,732816,563492,577732,802594,1165561,932517,998074,474643,930476,551317
2082012,1891570,2326814,2780248,685235,1736903,1841017,1717342,1529015,1470434,586556,1094780,1039618,1134399,851689,869026,1492019,1669042,1482227,1315541,735953,615581,799636
868956,1390448,1268879,1886110,679623,1311262,1655094,1598153,1267938,1388607,443622,761098,1007388,1113992,1228573,872573,1354783,1639119,1660501,1188150,668726,756925,781703
1684513,1438536,2028264,2544173,722968,1445666,2016612,1680981,1309203,1409082,546017,741144,865635,1115739,767218,905800,1414215,1648017,1406329,1226403,694462,750754,783766
823715,1241004,1245053,1756692,645609,1339493,1609589,1508294,1022382,1623258,521689,622485,729278,1010842,797527,838586,1263325,1590624,1317539,1149384,705786,827397,758019
1402027,1642726,1794443,2341016,776338,1348105,1937884,1707008,1340861,1676535,572214,1233818,1216049,1131985,895083,946595,1487801,1740714,1430217,1431326,729909,1123728,805349
919792,1613945,1585499,2385337,690804,1329724,1773761,1759136,1427246,1472214,479171,1299753,1068349,1100887,831742,955262,1460695,1626582,1355508,1282301,725132,854436,807301
794301,968117,1138335,1677923,497913,921401,1194015,1113711,940400,1107559,341206,530438,704208,878878,681687,614225,1008571,1171008,958990,876736,489973,611051,586498
1182136,1405825,1858107,2239168,732297,1500333,2170803,1599301,1299325,1495780,581808,730683,828415,1119396,832949,936622,1446555,1715855,1336502,1301238,736189,708236,797711
824878,1323461,1431490,2207667,690094,1391329,1725465,1926079,1456909,1601242,628919,996501,986966,1221867,884871,917172,1518160,1792552,1470180,1351165,736475,730857,818910
930367,1293091,1347610,2166203,639601,1175067,1576655,1332461,844008,1026117,663884,1092048,1079175,955565,697069,758664,1060712,1307560,1809334,1199060,853857,620200,629643
1059270,1443288,2116640,2388952,714152,1299767,1702990,1638637,1182918,1529747,503972,797512,843597,1122486,860470,1045313,1626356,1666844,1400019,1322677,814760,734357,806688
1547101,1802075,1904241,2487562,703627,1649837,1853317,2046839,1488982,1620437,602276,1196656,1046298,1308284,881729,980152,1460736,1754665,1606910,1416290,826885,971814,822123
1688656,1582495,2287747,2724657,748770,2359934,2226654,1599536,1335495,1496749,666943,838300,839488,1197246,863811,939374,1671603,1754795,1471876,1356216,699100,967586,808121
817184,1348659,1572551,2296311,689473,1378357,1686397,1838270,1421309,1583783,559267,872074,953089,1200238,772339,1019260,1511869,1679034,1404578,1414167,803345,774706,814837
985157,1328610,1456649,1942601,684021,1174425,1663413,1459033,1213327,1296700,472671,1097466,935036,1125403,776417,873751,1454476,1641993,1519680,1241022,706518,825695,772127
1255745,1515413,1647281,2271418,795197,1848780,2244414,1772781,1495348,1802940,919599,930025,986607,1259825,946586,978077,1466187,1756982,1466430,1414582,924182,972681,835313
919070,1168969,1335422,1817092,696063,1151082,1446047,1514453,1094007,1468184,500857,781049,865643,1170585,756876,882550,1386794,1658968,1697312,1224116,800837,787681,814421
1510066,1389686,2177847,2248154,694035,1468309,1667312,1651309,1396308,1513437,607077,1356544,933643,1182264,821226,914896,1429665,1645734,1333270,1284642,753971,707141,785845
703020,1524928,947030,1745093,672475,1175069,1540067,1622182,1379296,1610901,640158,2751537,1702238,1509924,736318,885487,1316843,1666869,1385267,1329835,871118,646627,819661
1046855,1409813,1623806,2145833,718124,1898781,1738405,1626366,1400646,1713695,653578,995679,996546,1247791,889519,1004236,1411602,1680318,1440549,1385065,893039,745086,818651
826349,1288794,1558875,2293032,722438,1611578,1983267,1848040,1469645,1752543,690303,1032000,998801,1286652,954849,978828,1549884,1681735,1498100,1363401,734601,650324,817249
1614359,1678623,1619639,2379751,773904,1535023,1767741,1693769,1279332,1652271,427380,844313,922096,1284762,748616,1008690,1449885,1697187,1510380,1374064,748794,1379563,821379
769123,1169585,1243305,1505744,627057,1115128,1326929,1256983,753148,909045,327342,802140,731768,870092,583863,619798,977086,1264466,1359994,968295,511967,889989,605030
1812741,1641572,2092937,2810559,740400,1466301,2245790,1615840,1501833,1622526,579698,917463,986150,1132960,787853,1041607,1465120,1658994,1448432,1371023,750057,1024539,821132
1032201,1359015,1762785,2223769,741350,1408475,1790477,1559961,1210751,1498957,684645,762962,823445,1110410,754164,963785,1391225,1661297,1383831,1280847,754083,566837,805490
1191996,1611780,1481019,2124939,697333,1588486,1653573,1522739,1287336,1596609,565071,1394227,1259885,1389353,1176393,1123559,1417640,1649730,1409932,1362573,738061,1115796,813856
1488903,1711721,1629430,2420314,691977,1451155,1527987,1734908,1440215,1622327,480717,2184597,1612950,1918384,985126,924697,1462586,1742617,1566138,1413983,974413,671316,837149
1097729,1352139,1560428,2097368,665515,1343045,1486483,1644659,1237179,1537770,818930,973734,935153,1066666,908379,936598,1376168,1708188,1395276,1267604,782388,1043272,801348
1198035,1487052,1536904,2293884,667623,1231500,1671141,1605276,1180154,1605336,496047,1467830,1107248,1474062,876268,950221,1467312,1642128,1394595,1307519,717807,728808,797712
1090752,1317105,1978618,2220433,648377,1270564,1524053,1551344,1241915,1459542,472454,828301,845354,1154347,842805,905424,1514863,1612792,1354270,1263619,668534,1044601,781262
1044684,1331736,1523978,2130107,754316,1237325,1482222,1563315,1386717,1508410,424508,784806,911483,1134142,889182,953593,1442453,1803666,1494146,1411762,724178,631382,801154
703730,1162021,1169289,1494388,641605,1040775,1201515,1269428,1028045,1275830,351951,732900,792456,1063107,721401,856594,1377787,1524055,1327018,1097749,711091,610078,743833
551323,1034412,1014442,1628385,670317,1064429,1456431,1497768,1136953,1404107,496492,724656,806592,1148677,772312,1172020,1317293,1658377,1362714,1197018,735228,777835,782211
1186961,1583456,2430714,3005916,710147,1258864,1591339,1527196,1154790,1515825,630490,2668506,1420710,1361252,747679,1029585,1458716,1630550,1532281,1311689,957594,561857,805907
628742,1503450,980017,1461428,687014,1124704,1298400,1593132,1380047,1640043,415189,3701793,2177872,1579889,868895,927252,1392641,1715805,1414409,1325310,693738,830282,804637
740843,1353347,1291722,1879115,747129,1347859,1582211,1567028,1279911,1488713,590921,1134489,1115265,1384021,783393,893466,1497905,1710490,1437672,1286959,808301,932427,824468
1109001,1353304,1623857,2086428,681035,1242467,1560008,1539410,1311315,1400652,568654,748953,907342,1247303,800778,1086363,1450031,1669365,1397670,1297111,909724,638379,781063
788781,1369655,1177368,1864303,673139,1369750,1440939,1674865,1350357,1410650,475285,942647,1134141,1263473,863688,962387,1424448,1650117,1374652,1309174,738324,1221830,798511
1285438,1490881,1690735,2117155,678074,1376765,1470831,1687230,1448589,1554621,451376,802051,833392,1246466,816837,1000935,1476821,1630003,1342060,1243375,720125,735253,815356
715904,1279996,1485497,1873302,688252,1305587,1483271,1654311,1213062,1470303,458714,880719,961653,1268950,952978,940831,1444976,1761116,1436879,1295066,705083,1565153,824678
1032228,1401450,1340882,1668002,841752,1225313,1422828,1590024,1211517,1478947,412996,1314688,1019361,1297313,872107,1179152,1415112,1715961,1647006,1341868,732822,917027,820976
1739879,2081161,1811078,2202781,806820,1274073,1414278,1943765,1202723,1554042,553129,1091546,957258,1437875,815398,1070013,1584335,1720461,1428074,1307438,764174,743552,836485
2121597,1831384,1946959,2339193,695152,1319594,1431535,1621742,1313296,1494820,618408,1326556,1143013,1366313,858927,1028675,1452190,1738730,1483476,1453362,913447,957125,842650
1084791,1509902,1722753,2223857,819650,1603264,1476009,1735112,1371287,1540709,815365,949587,875565,1284095,834943,1023873,1488694,1740219,1547278,1362002,899220,965184,832710
681146,1249974,1082551,1659994,726904,1137509,1379221,1582189,1153651,1394567,451774,1490125,1108213,1255569,1025077,949383,1441287,1689797,1334476,1350891,690759,1126322,797998
1071205,1601254,1072832,1557513,680795,1200943,1335915,1603761,1095720,1538818,533687,2325652,1567583,1243681,1261464,1053673,1446300,1760762,1431593,1377890,759657,1337291,856264
809924,1256606,1122077,1716560,644782,1106967,1187533,1574500,1175623,1504712,443393,1026439,915851,1508167,793307,886780,1325815,1747968,1429240,1328571,735302,835738,822192
772050,1667478,854660,1447853,689999,1049258,1312547,1636443,1372974,1514608,421608,3253004,2056397,1707220,1037755,935295,1372591,1777731,1507433,1374253,753809,978943,842534
1240860,1545578,1897070,2367373,714909,1763822,1747921,1723479,1218570,1467269,515783,1383253,1185178,1420942,902178,981320,1486810,1724811,1456865,1373524,842003,711192,833135
676297,1254613,1106180,1740539,825815,1212412,1258821,1598055,1106407,1454383,512487,884375,969583,1261447,1338565,1008743,1343064,1657169,1373867,1305720,699049,1580663,808440
1174339,1491043,1486861,1892434,939038,1289022,1338979,1681117,1159231,1481396,435141,1112196,961423,1306849,913445,1089116,1457016,1639535,1436330,1287569,735506,640257,788193
950834,1445866,1367200,1901147,812389,1139705,1227420,1574706,1281233,1454488,394505,1077376,1001113,1192112,903707,927030,1297273,1631777,1447640,1330313,785145,772163,812200
758606,1473396,822181,1378746,654745,1081978,1103440,1426917,1076298,1503455,430623,3145190,1960194,1592715,958561,945862,1272447,1623944,1329026,1241874,692568,846408,775106
1100288,1670339,1284337,1685874,968965,1173730,1156622,1596805,1166136,1477799,492248,996208,925074,1579926,841835,925233,1518300,1690601,1380676,1342398,732550,933354,819689
1361091,1585520,1584489,1958718,671916,1437981,1300638,1744210,1294081,1451074,453767,824630,867551,1472974,824026,1084165,1393865,1708394,1436138,1397917,715171,1829262,819654
1116175,1497319,1477430,1859694,660050,1309701,1091657,1615482,1246010,1437692,506564,1010369,973315,1223884,900361,918494,1388278,1688384,1372093,1313547,710215,789266,813795
985291,1745727,927741,1490678,647930,1199698,1132045,1504197,1114858,1448040,432820,2501017,1836289,1479388,1490860,1208046,1346103,1692012,1421048,1346692,734493,1803513,816328
845640,1394808,1271766,1906840,695164,1171378,1143389,1566373,1230023,1481000,454852,1874687,1252006,1764384,1001845,1029976,1443438,1691227,1444904,1317110,751571,1107725,833244
700088,1359447,1232908,1918667,700960,1330397,1287373,1686624,1185299,1607111,454494,1242669,957785,1258546,1056452,928719,1532071,1719166,1430761,1309381,788810,1570449,832805
831639,1232398,1271390,1791377,730900,1103070,1248189,1552794,1137593,1580384,423353,1781734,1237324,1492986,993866,1254660,1428238,1723806,1427182,1350681,712976,1227106,853285
2333242,2249050,3236829,3510991,682156,1687872,1374026,1591950,1197920,1538455,604252,941530,953563,1427658,892832,1057101,1550407,1738376,1455262,1445238,762995,864896,832164
929592,1326901,2051639,2366266,795576,1499124,1698432,2184184,1200080,1579130,550976,1113014,961688,1403145,861972,1146379,1559319,1752791,1520511,1399927,775872,768756,847833
1657093,1760335,1528070,2123654,1125068,1843210,1292146,1593592,1271761,1669018,497724,1103967,985791,1209907,803107,968180,1460096,1818530,1475684,1415091,734890,758759,861567
845650,1351804,970244,1680410,790824,1304444,1284020,1614941,1147822,1642585,429586,1852340,1203014,1439487,999297,1089524,1406298,1770491,1446669,1337752,849017,1554059,895106
1466255,1632183,2151839,2440969,727613,1636021,1512446,1741412,1549962,1593606,455576,901414,883118,1256282,845503,1057657,1559730,1726846,1688154,1320832,807018,629416,841383
1202231,1702987,1387310,1903145,887844,1313921,1288529,1728967,1205755,1634805,1159099,1073954,1004239,1240297,873379,1077105,1435166,1822005,1979788,1537996,1638632,861391,875922
1506548,1707448,1569721,2071060,811676,1543710,1286767,1868742,1338261,1735634,746689,1276608,1068094,1465352,1046502,1214084,1599020,1774516,1609431,1347286,1109173,923291,878220
894979,1267957,1215062,1810990,851237,1221650,1237639,1819603,1255944,1686681,478717,1166008,922784,1228642,851642,1046467,1481511,1754341,1663033,1367522,836810,1148049,860745
930089,1532307,1301121,1888199,794522,1115400,1492328,1585358,1118400,1455675,540443,1748062,1153311,1204426,909158,971557,1383318,1691302,1480771,1283909,896360,682680,816514
857736,1565844,1132059,1807579,915803,1282016,1133475,1623953,1171539,1655072,413492,1388589,1103070,1749239,1231758,1105343,1385270,1716553,1429461,1356668,776914,738153,854738
892285,1258085,1060692,1624545,757520,1340477,1284929,1715472,1258846,1652506,766155,1247536,966892,1229955,912425,1025468,1420393,1754108,1447095,1340616,781109,757803,865697
737398,1450132,1048218,1736305,640334,1086991,1078020,1620945,1293353,1700709,753295,2355410,1586787,1649533,1009697,998765,1388370,1828176,1740865,1464859,989309,860762,1043102
913696,1465787,1204807,1627418,659938,1024361,988034,1434606,1054969,1355707,465196,1562946,1302874,1177824,914571,980116,1379687,1630118,1832725,1203936,784588,715651,780070
1346657,1733122,1420106,2078904,656240,1273183,1241349,1609080,1312959,1480447,612444,1595260,1261740,1354090,941816,966783,1423169,1686431,1397828,1386201,756715,1636750,847688
1172876,1591971,1701874,1994694,660412,1288091,1241714,1830740,1317268,1583206,454943,1085950,979532,1404447,913307,963962,1401931,1727094,1509445,1358237,766491,673884,840461
950705,1297356,994631,1366762,672395,997564,1021109,1291179,1040565,1306705,624875,1567732,1036252,1112721,819834,622921,1268210,1429916,1491788,1075089,724389,609423,677871
943453,1299859,1292911,1728460,686108,1126316,1186848,1580890,1367943,1477339,497735,938389,818492,1110942,875871,925908,1389213,1624149,1310612,1301945,986906,896597,804019
1326989,1619122,1766504,2106567,886428,1258466,1107086,1691264,1265115,1506574,418644,1317570,1159262,1190693,928315,923786,1409357,1615502,1335190,1248474,714058,828613,779768
1108803,1550131,1400852,1817315,644232,1112289,1173724,1835029,1280289,1675742,469288,1756125,1124172,1191706,1026292,889288,1341446,1634233,1402005,1336338,711870,823095,817517
979635,1245421,1242997,1711811,680663,1142646,1091236,1411044,1100267,1452945,428064,1112400,980481,1210016,926007,1171206,1390456,1613580,1338193,1278399,778041,901762,827740
819624,1262483,1344495,1812787,636344,1285909,1001072,1646577,1262534,1447023,568962,1079210,1025402,1120168,1000002,1234616,1357561,1580248,1389929,1355743,710400,790099,767139
1770275,1917545,2081318,2568733,720190,1404879,1548234,1635322,1245477,1495874,600065,1136881,954682,1191508,959186,1149972,1669749,1670318,1424998,1480035,729113,644668,825058
1022697,1486708,1650804,2313492,699923,1361351,1607012,1618437,1120695,1513599,410698,839809,997636,1189416,798221,1109341,1529186,1647011,1454765,1284696,695632,954374,803036
1517424,1550239,1647486,1876589,675516,1270972,1257113,1513130,1292935,1515294,605639,911536,907864,1133126,844221,965441,1478213,1643443,1341287,1270722,748584,509731,2825389
612751,1269015,1088406,1467444,643559,1182006,1039788,1435335,1324795,1498532,378293,1954376,1096406,1523248,912936,933261,1365696,1646977,1372543,1264073,735896,984513,804916
797805,1243441,1183394,1589708,710148,1255470,1162985,1629852,1335730,1583045,551042,833272,874738,1269824,850781,1058601,1443094,1745975,1501779,1356161,827140,706230,834701
2070280,1783871,2365198,2842771,725833,1756146,1455996,1788420,1249684,1657364,588168,1240450,1092846,1134423,892042,1167555,1732972,1732073,1595093,1407682,748868,615613,854318
1284228,1672510,1493716,1726945,887709,1135009,1168600,1691477,1368952,1610654,402416,994645,887954,1449963,809253,943928,1422293,1696048,1378972,1348955,735215,573990,835389
839962,1216930,1269348,1728163,702583,1262167,1298119,1624352,1264164,1662403,942270,1093103,1037676,1310422,808643,1121132,1497116,1725323,1695716,1391001,873479,719571,818384
905525,1308439,889444,1471466,639883,1324385,1087877,1944289,1309310,1510525,393208,2489310,1417121,1357550,1063205,1226470,1412162,1681529,1434297,1302078,779410,1066090,833377
800264,1299676,1131466,1680280,627067,1140224,1013633,1529323,1092907,1680781,553710,1257233,1177643,1173959,947775,1000628,1399844,1685775,1409324,1406589,805666,1251641,830072
1077574,1425782,1796578,2028395,660265,1334985,1097358,1628098,1246863,1672468,438342,1068253,996544,1228142,798814,936848,1445083,1683698,1417515,1351674,770309,1006047,837758
729943,1132972,1301891,1974687,683483,1446307,1206998,1837273,1283695,1622407,777149,912784,1013805,1387068,1001152,1016151,1475286,1834969,1475430,1376398,786848,1120985,842802
907868,1366910,1758482,2124762,650764,1264620,1136456,2115558,1292092,1651818,486006,1173509,1052489,1285693,833878,960057,1540440,1762139,1636371,1375194,774381,973553,865971
1441002,1592256,1413457,1981602,679557,1398050,1252308,1632932,1309562,1738580,647122,827180,912671,1446885,920497,1189972,1501173,1788813,1515944,1389073,813495,741201,945735
1346016,1579039,1425053,2169479,656893,1199245,1049678,1691071,1300823,1721172,464624,850934,923569,1194459,811482,902168,1404288,1716206,1410923,1373275,745528,913547,848781
2257379,2389408,2032590,2479966,681527,1652142,1482490,1544456,1236810,1652567,427115,974125,1117986,1270532,847753,924500,1517810,1728847,1560110,1323560,814269,889574,841251
1785496,1685493,2125589,2353682,642807,1284710,1134726,1785244,1389445,1685956,474041,1071085,941513,1249929,806955,903986,1482921,1780171,1593582,1456157,805102,713600,856325
1340345,1715201,2477969,2868613,681290,1497557,1310503,1737899,1270038,1751959,467864,867246,897395,1181870,782270,986410,1527625,1772790,1610736,1400799,741087,922997,858815
1150922,1502487,1743524,2284069,704599,1390626,1477573,1621293,1294784,1640334,518815,1082438,1024749,1533248,836723,998632,1513130,1757484,1566730,1334316,750544,660603,843851
1546066,1638876,2081320,2782855,780537,1494409,1238633,1962040,1334422,1929262,670668,1266914,1034086,1192152,912534,1016075,1535354,1789099,2224754,1507287,1228654,640331,863764
1094434,1583450,1822471,2499966,695578,1544350,1376391,1980164,1533153,1873567,677912,1033219,1039410,1151971,884567,1011766,1561080,1816572,2066115,1473635,883809,899836,864596
1386487,1674724,2259195,2844530,649145,1418090,1265815,1754910,1240974,1803387,797639,1414009,1043736,1147636,817860,968984,1589017,1760873,1743893,1448231,1099308,786795,852255
765584,1299559,1192281,1748428,654495,1160400,1054196,1795243,1389635,1730452,471510,1794844,1284510,1337626,858490,1020322,1447998,1752770,1490145,1406045,800760,828185,860244
939143,1256877,1355197,2010069,734657,1337375,1086615,1863438,1446819,1657771,431056,801912,974756,1176063,811637,1042658,1561487,1702810,1529316,1359875,715909,885962,841145
1607800,1834962,1977517,2706443,645778,1348678,1133197,1679983,1173210,1599037,569512,909481,1017417,1171079,834599,878694,1478633,1706269,1546803,1438047,815678,757534,843541
1055697,1463713,1672261,2145145,608563,1480515,997217,1687064,1291986,1701825,442491,1020555,1058802,1079347,849744,948084,1465936,1699385,1423490,1341447,796296,812686,834802
960712,1349096,1461767,1898376,619325,1357173,1122767,1791643,1236291,1727006,457763,1524692,1159099,1142497,944723,1084251,1515005,1754883,1477099,1395575,752360,1472341,850289
926217,1235347,1688454,2173203,612535,1163010,965915,1785965,1417476,1495878,421300,805553,836777,919687,723581,843234,1394879,1459106,1290275,1273805,688616,850138,703262
1208684,1460525,1461850,1944537,616484,1383921,1093425,1683519,1334931,1467227,431499,876762,892597,1077377,784716,958881,1463205,1583837,1399180,1248509,687627,628776,769623
1287547,1433936,1774509,2073306,646275,1206229,1176726,1598806,1191064,1619709,521925,1132011,1184003,1159868,811529,993500,1469662,1666617,1463063,1332141,730968,661973,808190
764472,1191756,1260782,1939425,642849,1248739,1012663,1735906,1314646,1569784,421973,949774,903085,1157660,915617,960767,1391451,1678542,1387605,1384911,805332,1279627,819819
938347,1367671,1171214,1762492,614533,1305881,1105099,1704594,1175354,1638734,819576,1047116,1062408,1192658,858474,956260,1449390,1667185,1388870,1316891,875241,844472,816539
1895009,1581341,2015564,2811727,636271,1605777,1346503,1649518,1279854,1612034,442747,761917,914089,1274988,986893,1121237,1518915,1709342,1474181,1371385,781499,774889,814554
953947,1255304,1487691,2001366,633306,1412011,1163955,2000726,1335190,1505309,391792,854894,1085820,1013032,807410,931951,1368000,1569554,1368532,1224322,695144,758476,750801
1191092,1443250,1376137,1864953,641215,1156818,1046674,1644605,1164587,1581528,673122,2326137,1527358,1274036,866410,989545,1373182,1627630,1390414,1297701,1404642,644107,788996
1161552,1408581,1849552,2287592,619556,1376436,1127076,1766462,1340829,1683506,443527,842580,916835,1015535,779569,977810,1563399,1731131,1495791,1350213,737141,827874,823923
1228336,1547013,1492894,1935138,637251,1278998,1112158,1639018,1335643,1596209,427226,1438185,1237793,1094291,826203,967429,1463795,1699454,1582059,1397549,770301,659559,820568
1235829,1503730,1731252,2411844,646811,1610841,1264349,2109459,1736403,1718546,540408,1023167,981341,1001452,833727,1066198,1449913,1789388,1514601,1479658,803083,968565,828780
917266,1212186,1321210,1880380,593854,1122498,1008490,1649442,1265980,1527021,377936,820609,842665,953449,762672,995538,1424129,1638039,1395258,1267444,714895,655386,786513
1072793,1338951,1538550,2227508,684877,1433141,1170715,1577786,1345676,1847151,740139,973981,940052,1109516,948422,954113,1524904,1733478,1675193,1421227,1008958,894478,851945
858565,1346355,1482762,2105825,610093,1425529,1095022,1583404,1420175,1518710,393545,686999,836483,1061473,832223,874619,1411216,1652722,1463773,1398036,742420,1070577,815162
856166,1346490,1511245,2028317,624413,1283082,1298221,1685169,1185627,1546070,436373,1234989,1161838,1289655,847416,948643,1451209,1673828,1482301,1333456,738790,688010,808377
797498,1185802,1297957,1887050,672011,1474067,1350128,1764660,1448631,1750017,618141,787438,911530,1124101,849500,1066207,1528799,1786666,1533901,1410340,790246,780943,854614
1308733,1436418,1661319,1980739,636085,1520963,1144667,1728927,1126128,1515824,523273,861082,941199,1087143,764349,937775,1390241,1646008,1440180,1322277,743492,933714,796158
1075223,1395372,1358275,1955037,735373,1166140,1047416,1705719,1340228,1758972,511875,1795295,1252472,1354440,848716,882627,1562319,1728888,1506792,1388021,724875,770963,844080
1458865,1718500,1914785,2338623,682712,1343682,1325429,1728218,1244603,1687777,424196,1000916,1015601,1135862,736277,1035046,1634679,1713066,1474815,1385041,741465,707167,847331
1258552,1651311,1892828,2525593,648762,1454736,1222292,1983124,1355355,1646804,444119,1014807,1160858,1214912,849349,1212763,1515781,1863696,1520582,1370747,768788,1224275,835941
1239206,1515385,1933181,2408419,654359,1488676,1449956,1764493,1369096,1778203,480105,950001,949841,1183980,798237,1048990,1502703,1781270,1500426,1539430,779071,697619,844841
1632358,1733764,2323130,2571974,645726,1567167,1171755,1728026,1463876,1686057,598894,855457,894298,1222660,864918,1069861,1509434,1813126,1448128,1407625,779624,1815410,2550639
890365,1369880,1452450,1986630,639471,1280106,1137188,1709964,1334604,1912370,545195,1125338,937555,1275026,1023912,1058303,1487806,1786112,1594039,1446885,1144473,1315422,846043
1147411,1491709,1711370,2419082,611781,1397333,1225722,1726271,1083565,1560885,434644,981198,1015327,1030632,779237,1036378,1465172,1664852,1404939,1393049,727320,615815,788283
1450746,1529699,2022604,2717928,754512,1424369,1540413,1734887,1346362,1735681,540637,797075,944194,1193503,883623,973830,1604285,1756198,1614602,1463603,914133,745137,858301
1202238,1611739,1639446,2090694,658202,1383133,1199717,1713267,1281160,1735654,596547,1211454,1019037,1211628,832657,1041079,1517586,1751688,1539128,1470496,830691,704885,840900
1443610,1579060,1632914,2052914,675663,1455116,1163931,1780282,1196965,1883198,516621,1346047,1260695,1290107,995215,966462,1469688,1763108,1514336,1475866,787586,1376657,843896
1211523,1561030,1413161,2329493,673452,1709525,1202910,1948749,1273191,1752078,677030,926145,1050419,1184055,821591,993053,1550570,1750061,1499037,1377724,832076,772912,823568
1602372,1865002,1989605,2516168,666097,1571000,1304826,1988065,1275045,1631655,430953,852289,903793,1062130,910832,1142891,1542665,1751310,1485185,1486531,771159,715858,857205
