bIIItubulin,DAPI_2nd,DAPI_3rd,GABA,GAD2,VGAT,gephyrin,NR1,VGluT1,synapsin,PSDr
11017,12222,248048,5681,4975,4074,4732,7500,4674,8322,40341
8644,17743,315412,29262,25287,15293,7020,10138,5976,22036,5294
3081,30112,554765,6620,30940,9344,46907,17728,12988,19793,21876
2372,30379,611757,6548,36794,19913,14822,136020,10497,12085,105075
2040,7647,148902,1240,2739,2453,3012,5454,4550,39004,14649
3292,5322,81655,1594,2566,1701,1999,7883,1064,1673,27819
0,9042,148429,2303,14101,2428,4480,7166,4756,3286,25427
0,7566,154038,12294,16088,4438,33715,3909,4516,2947,1261
3300,23565,437319,4592,11778,6746,10040,81332,7085,4011,157053
2089,10648,214570,326,9256,3423,4882,84815,3545,3046,79762
0,6150,106684,8,7190,2050,2452,48747,2235,11523,13442
1925,12413,235634,1925,7577,3850,3892,9110,4341,5935,84032
30624,9672,113485,1612,4768,3224,4790,6405,3224,0,41222
3581,21375,394752,3191,9340,6501,9573,59601,13195,21446,45154
6358,25555,510082,6485,15592,7626,13668,100059,22714,46355,91373
95832,19828,372659,2868,16251,5613,8094,118268,7307,119,55069
0,5838,112109,973,1946,1771,2919,18547,4029,6843,2525
20529,32808,613250,8001,15649,11050,19288,84757,28348,49930,106215
868,24777,433642,4181,9133,7866,12100,26091,20772,56416,87976
1635,10676,204336,1610,5917,3218,4830,51257,9892,22572,33305
4017,15069,260251,2396,5976,4433,8226,11467,28920,24839,32440
12643,19603,303299,5081,11415,6001,8342,9142,6665,21041,7413
15641,26173,525309,10666,13767,7457,10853,63642,20096,13508,20557
1225,5721,104437,12249,10374,3860,2598,4038,1732,4505,2317
13634,21000,339018,3357,10917,8843,9636,43757,30763,43810,68145
0,5412,122356,18,4408,1324,2706,64421,10284,509,58282
4582,39717,821552,6530,16925,12792,19721,22659,21705,22901,155495
18922,27484,494865,5491,22803,7529,12096,44273,10890,39450,228377
1324,8058,172696,1343,38137,2686,4029,4585,8287,4730,26585
870,7998,163012,1252,4340,2504,4743,36772,4123,7255,19551
26501,30624,583938,2624,21675,9890,15402,96179,15901,121496,166415
2308,71402,1512480,14644,69684,22110,32767,189159,27190,161106,250083
229,2796,56419,726,932,932,1263,1861,932,869,516
2014,7734,125752,1223,5380,2562,3034,18069,2727,4020,612
2529,8467,157497,1437,3736,2874,3665,18116,4080,9518,267
2927,17376,335763,2896,7088,6133,7106,9828,6014,6498,0
3210,23765,394470,3395,12855,6790,9842,84734,8913,45567,134697
6154,7421,135091,1257,3021,2514,3095,4275,3470,877,14633
631,4626,73508,1337,1542,1912,2313,2957,4173,29706,17684
9580,19387,429432,404,8044,5655,9042,22467,6987,97864,167421
1208,16420,243709,2984,7098,5326,5168,42015,5098,2095,69210
0,3864,82882,4802,1485,1532,2199,1337,3371,2898,56239
9319,6928,125448,1137,3718,2147,3060,27083,4606,1239,36565
1221,7326,150713,1298,2459,2442,4163,4884,2966,26426,2442
15,4986,109432,831,2493,3562,2184,5317,1742,27,864
1551,2964,38537,494,999,988,1482,1548,2245,92,5500
9427,5370,66342,895,2065,895,2463,2677,1790,837,1758
3275,7217,160699,1202,3606,2404,4085,4799,9519,27794,47610
958,4560,93983,905,3441,1520,2280,29278,1967,833,13764
411,5635,91296,925,2414,2750,2775,3441,1850,233,2775
753,5898,107477,983,2949,1894,2949,18899,2218,749,25211
2227,24443,454863,5032,10644,7084,17867,28533,45089,256485,96693
0,3318,59463,297,1106,1349,1440,1659,1622,0,553
4,7375,147904,1109,3750,2218,3946,15775,30549,51148,2485
2364,13927,295111,27022,14238,8325,20822,7959,4850,19776,4326
11528,13584,209197,8871,4858,3819,5327,7416,4594,46398,4594
35032,17162,359352,11636,11642,6692,25353,10884,12367,19457,6290
8178,12153,259302,9555,4106,5453,4886,7516,4604,11928,5339
39312,30821,634877,6828,16587,9314,13817,105305,11292,14886,58319
6231,11791,238486,2201,11042,5241,9457,6405,5565,9465,3828
5711,12114,192499,2831,6044,3887,5461,20104,5229,5874,26120
2215,8178,111080,1363,4112,2516,10530,18295,3236,0,6182
475,6192,111582,1049,2064,2064,2738,3680,2637,1768,2064
7144,26931,588716,3139,11680,9254,14901,76746,35630,42360,133492
2580,23237,441525,3435,9243,7593,10421,24016,16580,14289,89720
7342,9137,167742,1731,5214,2846,3986,31601,3895,6103,31809
1393,11346,211914,1120,5390,3311,5484,36764,7861,15675,43563
4273,17038,342951,4728,9677,6930,8407,66432,9521,14832,79989
40027,64628,1260885,54258,25508,26278,30757,45236,40668,65346,183291
8664,11586,204180,3061,5909,3862,6203,26412,4286,3498,32849
2327,11755,221463,13027,21337,4901,29276,11617,6554,9952,4776
5118,26434,477682,6529,12715,9164,14038,23393,14586,53512,95931
1541,11603,208206,2731,4122,3463,5208,7036,6247,736,36226
4963,6713,121919,7226,2778,4165,16475,3172,3044,48,1713
820,11215,251658,3739,9351,4880,5330,6682,4368,14258,24786
496,18171,373883,4022,6478,5680,8274,9284,26317,14568,64937
33642,38842,686634,28071,16610,17316,18410,46989,36627,101512,69290
2626,16454,308926,5110,9554,5250,6768,83098,5728,6813,34859
10758,45309,844845,7304,16944,13795,18877,29818,18002,103694,77353
11462,31482,501151,5896,17722,9627,12467,100661,13306,23651,27627
2712,10240,189143,2666,4463,3216,4373,18625,8089,18610,8591
33496,82227,1665518,12934,40292,25810,35689,99505,27017,68474,298964
18693,64282,1154900,10164,26889,19065,28272,75925,22458,95776,220313
2530,3780,81647,630,1260,1260,1260,1890,1260,1539,29319
1639,5874,106974,995,1990,2081,7374,4139,5614,1133,39932
10854,31885,624611,5934,19810,13800,15359,144218,15010,10280,170697
50340,67057,1385628,13723,59025,20640,29244,105291,69245,131788,428059
9228,20343,400841,3110,15179,6653,9796,13060,20702,26540,108673
5594,15663,286753,10872,10307,7922,6068,39193,12310,4459,58146
11307,25395,474815,8601,10711,9815,31562,11950,9351,17083,6785
3696,9810,168700,20134,5172,5663,4427,14130,2972,1070,2792
4241,26481,512428,12392,18497,9897,12029,82971,18344,45450,94545
3106,27130,582859,4571,13709,8478,12256,62092,19467,32854,191810
12828,27130,506941,5942,16488,15864,22553,138968,43697,39202,137535
12089,35570,731202,8600,19416,12280,17472,65173,18704,90835,105473
35835,35154,725523,6029,13358,11998,24247,20640,47875,125003,156149
13782,25170,480990,4595,11101,7402,9212,44869,13035,13791,121299
5284,26970,523785,10831,10412,8323,12671,28254,22762,65340,90619
13886,32967,644951,5192,17584,10541,21204,72980,43426,45653,218340
4163,14101,299968,1965,5343,4192,6020,8302,17278,5101,48242
0,18868,348575,3545,6943,7260,12678,12717,55942,27277,248933
4241,8837,174562,1641,4415,3464,5649,17971,8793,393,7032
9721,31770,637337,5757,13031,9243,12951,24279,10698,10068,104656
977,16562,314332,1407,6654,4678,8968,8441,21488,8925,8156
10130,25905,570276,6104,10893,8139,14404,15608,14708,34683,166936
3838,7509,151342,1972,3773,2528,3135,6791,2528,6938,3609
9697,24101,494877,4085,11054,7478,11574,23751,28835,85633,90541
5941,41161,850951,7002,20207,14820,19271,75434,19596,86238,81868
3703,10728,189840,1993,7161,3146,4740,84104,3576,6806,49448
0,7050,105187,863,2378,1370,3035,4293,2793,1096,10704
954,4734,108819,789,2131,1564,2367,2367,2297,5290,5381
6380,34579,655485,4906,21221,9250,32790,31547,14683,25350,140517
1841,21976,358185,4028,9991,6465,9707,40907,16614,27548,8506
9058,17891,415444,2878,10525,5784,15132,23726,37889,55323,98891
12029,23058,505443,1044,14367,7379,10152,127999,9342,4045,22265
72415,83231,1507775,15525,42093,24374,36544,48146,38922,140196,353138
908,13466,227228,13178,12360,7310,32300,6661,5600,18716,5216
8100,28546,549777,8111,22451,10803,16490,84647,26384,51757,65460
33324,87836,1777363,14337,36627,25495,42815,70328,72543,187437,536173
24517,10537,211906,1703,4967,2832,4295,33646,5614,10685,2759
26693,57889,1264729,7121,21906,17466,23987,33317,23614,311180,283192
7153,56214,1020319,10621,31127,17133,25175,51514,28472,161308,305409
8648,33308,617019,8147,20678,9295,19690,85951,32432,27882,160494
5745,25655,510794,4804,11746,8152,12078,21730,11980,23242,109783
5086,32627,746905,16879,14116,13272,17848,22251,26339,144989,60619
16917,52624,1188936,9259,17765,16249,19029,26755,24360,5524,146481
9540,24465,468102,4579,10225,6780,10687,22552,14542,118008,6865
9260,24076,454265,4528,11510,8657,9663,58550,16506,33682,64711
5845,11665,247228,4588,7874,3588,4834,62966,7533,37396,11396
16881,43241,878137,8252,18899,14588,23104,52641,21435,67903,112720
9820,16860,289661,3327,8377,5427,7934,28198,5620,33641,21158
11302,14370,273173,4088,6646,5088,7413,14528,13789,30291,2775
12563,66128,1228392,10571,33988,19162,29161,39104,36458,87989,208443
3789,10268,182681,2436,4148,3765,6524,19113,4246,26692,3454
6549,33918,638260,21677,11865,12977,25010,17775,31989,85473,54149
5874,16811,319571,3741,8766,5390,6441,34553,7043,12006,20763
29786,24275,483661,5773,13882,7914,10380,11303,12279,19845,27096
23087,38333,803242,7072,15869,9450,16911,26932,42055,109780,90643
6484,32034,656966,8171,16177,10992,18151,31166,28271,109191,126336
4515,15027,286297,2434,4872,4868,7319,9376,9220,11503,230612
6263,25371,500813,6693,16245,9105,12021,46238,13917,54349,50529
4926,18823,388136,20152,18285,12516,8875,38722,8037,12199,136917
11988,59953,1275849,9091,25333,18092,27381,35106,28248,39306,466469
3972,28470,565951,2903,16382,7730,12512,71171,21018,47693,71705
5255,18435,403969,11265,31107,7525,9597,11550,6975,34802,51899
4956,22539,518366,4456,10094,5739,10587,62059,21333,3649,34294
3676,17952,271924,3077,6751,6736,6540,10201,6255,12549,10061
30223,27780,514579,4778,12427,8540,12463,57892,46919,19826,62313
1046,4614,93874,769,1538,1322,2202,2396,1538,769,26109
1051,4980,115804,692,1660,1660,2236,1660,1660,18115,38569
20859,27819,502047,4303,15274,7394,13129,27616,18107,59219,108189
21809,64608,1263955,12953,26528,20397,37044,71876,35278,68356,386639
3887,12033,257163,1996,5497,3992,4880,6478,3958,5666,36372
10668,12825,250519,2076,6995,3552,6466,36264,8914,9447,28155
7979,8743,146625,1558,3395,2657,3326,10679,2686,392,1584
2011,16834,364813,3314,7971,5647,7323,25553,7269,27301,23674
4118,17357,341614,3424,10327,3724,5983,66388,17846,33730,100504
40280,18332,279070,3390,7767,5105,7528,22224,6430,18163,28714
22482,46433,808086,6961,24081,11864,20951,109178,14511,71438,104699
5735,63650,1196170,33992,24870,21220,27531,37014,23794,161020,87647
8086,22696,462369,3329,9022,7828,9902,46833,15487,34350,35927
1203,14854,271851,2418,8423,4836,7477,8219,14484,10093,49617
8475,25245,433571,5303,10633,7416,10560,29101,7288,59678,114810
5310,26236,526720,4834,17740,7679,10169,42307,16694,62634,88395
3023,25016,455858,4268,11424,7816,11685,13872,20490,30275,51458
23096,25188,493048,37978,10294,12750,9988,26065,13131,25113,30088
16435,19711,386526,22115,7233,7818,57986,10184,8212,6114,6677
46612,40236,792531,45591,24143,20673,17343,214645,22078,31067,131713
2013,25499,544295,5693,8896,8045,10696,32570,8855,38113,50290
3678,6582,125787,1097,3081,2194,2803,3902,2837,11655,1032
13070,8796,166819,1466,3679,2615,3607,4398,2932,2634,2323
7974,17200,254825,5735,7514,5464,7549,11586,17100,8261,28336
918,4416,76183,736,1902,1472,2208,4480,1550,4871,3624
11204,47577,881252,7789,26888,14280,23177,67792,34363,87001,233026
7866,48900,892717,37126,21459,18125,21140,35003,21547,43263,129988
25307,27338,476910,5817,11324,7309,12156,32716,9000,36094,5196
3464,10344,171082,1963,7427,3024,4921,51907,19767,14167,3496
3596,15810,295387,736,7280,7377,5679,33611,5270,2635,5783
4673,8670,162808,1445,3540,2254,3535,4448,3802,198,5299
1227,5892,90846,1264,2529,1501,1964,2472,3828,5480,12527
12550,14904,275118,2484,8090,4829,6912,40981,6068,9636,21398
1843,17717,335845,3342,8248,5538,10487,20283,13776,13017,39529
0,7374,129904,1245,3367,2266,4142,8774,31256,64675,9060
41079,28319,503683,14994,15927,9913,16073,104344,10680,315,30357
18689,41107,798345,24823,23534,26112,113499,22379,17424,47073,16148
361,8654,156139,1834,3816,2519,3302,7930,4762,4343,5498
2787,28020,529124,12127,17253,8014,12270,26804,12220,131297,102083
14930,10783,212118,16575,18411,6785,4558,13710,3989,703,3694
539,10287,203481,2045,4880,2450,4902,19559,6331,3565,3589
11551,32343,722353,6732,16928,10150,16336,150215,31594,108323,49320
2803,11502,181725,8597,4510,3819,4781,6464,4200,2694,2744
245,5862,116365,977,2704,1954,2962,18237,6839,962,2537
11796,18014,257607,5266,8611,6316,6743,34254,10629,12033,21998
4215,13696,273646,2111,6103,4213,12337,6767,29732,75275,16357
18742,35556,728899,5951,15665,10550,16305,20675,40795,12519,255514
6298,18018,387993,6895,9623,6409,8436,41947,25039,43768,32562
40383,25546,435334,11956,9871,8415,9236,20760,11907,7004,55000
25948,45581,829855,24852,32900,16064,19975,26695,27906,37388,28978
26143,10494,213382,1749,4267,3498,6372,13257,5927,14846,36599
3999,13434,233599,1317,4965,3255,5656,16508,10997,13609,3405
11364,20915,363456,3972,8761,6263,8824,18770,6146,4188,17245
1178,23079,402742,4154,10190,6284,10272,38908,14561,9859,60009
20688,33803,716970,5949,13901,14468,14729,39440,20998,44537,69092
42215,48331,898563,104645,238524,26792,61215,66372,34673,105874,69269
2613,8712,170021,6615,3095,2797,13579,3520,12847,5436,26049
21663,67704,1258555,10210,42138,33626,28855,99987,77507,98104,457709
5650,30932,617565,13374,11479,11595,12748,70028,9007,12648,312492
8723,10789,197068,1767,4157,3188,2809,5096,3336,5361,30912
5247,13010,217418,3606,5138,4326,10321,7220,4155,2686,4171
35292,31506,589514,7278,15742,10330,12807,82335,11229,21443,153506
6946,30340,559345,4646,22566,9090,13018,79879,10615,62535,167286
11461,9003,98970,1475,2944,2717,3099,9147,2770,89,34914
11140,44154,813452,5742,18716,16745,26301,103914,37936,40177,127476
15412,64365,1254524,10575,31124,18501,28628,66395,80784,215104,228224
20430,27452,454433,6856,14059,8530,12337,74289,8862,44324,108792
700,26588,450750,25073,13459,12390,13007,23573,12370,6869,16755
10917,21004,388536,3027,7914,6091,11286,10841,18578,129040,77684
23559,54902,1074240,10044,24104,16965,24618,34568,46646,158084,237741
6612,36511,676331,6165,24002,11230,16611,71860,12302,32584,25750
23792,27813,516641,4305,11127,8501,11993,17483,8627,16542,118491
6678,25499,470293,5491,13297,8209,11061,54619,16671,116848,107985
1456,24304,447934,3287,27890,6760,11360,117433,31292,80741,79432
29668,63460,1212022,14370,39614,20324,32389,55307,38501,184377,296392
6313,24329,484432,2163,20108,5931,12302,101995,16539,37734,138360
12159,28189,526419,6401,30201,8093,12746,28272,24430,15287,74170
6389,20327,391090,3764,9409,5395,22259,15779,7624,14362,70927
10911,13908,265652,2121,10555,4242,6363,32151,5537,3175,25310
6046,91073,1663950,13772,68715,30021,42183,648470,34186,84367,307121
3830,36813,706251,8143,19358,12582,17097,106659,39763,137127,127284
40855,82355,1613503,11441,29625,22645,37732,45575,44498,32358,307491
8347,14887,300869,3681,6414,3725,7211,16151,8010,2842,29419
9773,30694,624584,6021,17611,8887,87809,18226,14007,37435,20246
4995,12708,193668,13489,5909,3315,17935,5920,3239,8156,3661
5451,10487,228591,7164,4473,2907,5521,6400,5135,31544,4156
2611,16407,312507,2809,7545,4934,6781,10168,5474,14532,55500
12150,53566,1027839,9993,30638,14310,41005,190303,110047,289299,134787
9073,37769,727597,17332,21209,13144,221048,22251,23492,10309,12197
7030,33247,629867,6714,21916,9473,19066,141865,57179,154334,78081
3536,9624,176474,1634,4605,3208,4699,9678,3164,18192,20055
3944,45665,686146,9153,22958,15978,19745,112521,15109,81164,35690
5022,16163,318880,3698,8857,5469,7943,32534,20745,73151,50965
1728,55251,1193999,8814,24897,20868,28288,36407,79060,113016,120977
5788,13421,236951,2198,5447,4697,6302,28023,6231,23330,24477
25858,29762,500322,6572,26680,10082,12792,45148,30603,46479,181482
0,6204,124140,1034,3078,1738,2779,11140,3110,1822,17046
7269,15896,323808,3342,8659,5035,7575,39558,5676,4311,22689
27677,47242,874446,9675,19758,13931,20615,40981,24710,39850,249155
22755,24584,536788,3642,11142,6726,10075,12260,8100,29752,45461
2396,12209,237350,1317,5757,3759,4750,14393,4519,6997,86240
2336,10454,165218,1647,4221,3294,5192,12858,4366,5076,12625
4639,21509,431831,23336,73348,11974,28946,21622,9339,18824,5354
6137,41048,757776,7212,20324,12454,29709,49586,83450,160993,86946
5366,13242,232937,2695,9114,4562,5625,14049,18328,20419,80285
3467,17867,303437,8907,6659,4847,6772,14384,4886,603,4508
3752,12705,219909,2731,6046,3013,5880,33864,8662,6959,13844
1447,22124,408940,4464,17604,6359,10714,15137,10231,16339,27178
8030,23131,379918,6607,14888,6177,10847,66018,8565,2577,27951
12116,30527,535192,11916,21413,9585,12361,21454,10536,21967,9066
11740,17974,322981,4694,7537,5663,6079,22759,8365,6330,18941
1958,18958,339006,39563,31450,14166,8771,10337,6604,66753,3648
27580,79177,1597979,15791,51400,24459,48991,76149,160849,330048,504967
2241,10892,221510,1556,4640,3112,5903,6589,4080,3259,85160
2251,14764,259079,3005,10500,4409,6193,104515,5195,2584,58545
4277,48694,961857,13001,22720,16085,36659,40492,47851,266508,233111
3164,11474,237985,4377,10098,4304,4457,23158,4847,0,474
16090,16502,346015,9137,13971,6943,8952,9741,6422,39976,46881
29582,20951,376587,1697,9491,5613,9262,12695,14948,46305,36577
8143,30142,599766,8416,12030,9041,14606,16238,8721,115516,106784
44977,70515,1418277,12139,47272,21509,30694,80150,30987,115624,379502
3316,12052,233876,1658,3580,2904,5039,7027,13858,77609,34744
747,5229,91435,646,5066,1413,2241,2988,3949,29646,28817
5250,6927,114836,1627,3165,2110,3165,8151,2559,0,2110
0,13823,233177,2010,13604,3425,5947,19985,4999,13728,141337
27249,75200,1577877,12262,79897,24224,41811,75674,70125,115963,531607
8155,29636,650044,28033,13665,12098,12806,19937,10994,1457,78797
132,6294,95826,538,2832,1581,2777,4396,1258,1541,7098
12651,22864,477515,7131,11535,7853,54412,17220,10864,9356,6508
2386,17976,355199,3198,8576,5623,8835,24585,7134,24853,68040
20784,46435,857015,8884,21481,13950,20615,24604,29378,64306,155795
80390,26670,595881,5125,16076,9246,13960,92862,10080,338,150660
99,20595,346994,46490,14260,14506,14289,12648,6764,30182,5922
52057,79175,1607996,14258,35748,23669,43090,48706,89050,247857,212845
29733,72801,1504513,15964,57199,24634,54081,91864,64230,161371,269629
1979,18163,365355,3759,11023,7921,8067,71437,5727,14866,45396
8587,69651,1493160,50951,43613,30477,46109,180873,60101,62664,224515
7240,23960,452136,20259,10429,8325,9666,12266,17672,59860,36293
8345,73896,1558220,15528,71928,23041,31342,109209,34843,29715,79426
16256,42505,808163,7155,18442,12649,23148,55559,22945,93669,147829
3774,21094,344115,1974,10267,6502,9696,31134,31892,70394,27420
3836,16191,285440,4524,9033,4904,8547,10831,9822,27750,52712
2295,7910,135324,1196,3089,2864,4319,4901,4390,13460,41832
1094,5159,96598,737,2211,1474,2211,2948,1886,26458,46668
6485,20735,459648,4125,17455,6548,10770,24826,12132,42123,147266
8010,32545,684309,15358,49564,12513,13886,212291,30304,10797,183658
13506,37088,856317,6416,20432,12077,18377,104617,35369,38122,429900
12584,52666,1043553,10110,22618,21104,6685,72282,5653,219998,42877
30085,75281,1525219,13161,38126,22329,39094,66699,30421,105347,322570
8949,25024,560600,3922,13504,6787,10729,45844,8609,81589,11777
6300,16922,372292,2686,11159,5371,8105,66720,20262,39809,45555
6743,12467,246178,7054,13279,4741,30274,19153,5142,7360,2400
10438,22337,459701,3583,11314,7138,13400,22536,8431,37026,140750
4610,15750,305452,2250,8704,4497,6747,7191,4383,18790,61010
7671,29084,535352,6987,24558,9239,11395,39623,22306,32630,51120
6700,37059,738611,14438,20468,12119,16150,97415,24758,78500,21903
1070,15970,341191,4042,6823,5082,7329,12696,22004,1875,60825
990,6514,120088,4133,7756,3506,2979,4077,2346,935,1350
9697,53106,1069611,9896,34171,16953,27382,46578,52661,107704,269590
14777,3878,57726,605,2505,1200,1815,15114,1815,949,1210
10364,26290,502530,4656,13548,10357,11242,66663,50720,103673,113011
4049,11780,266248,6419,7719,4552,10099,40788,5218,4322,62206
696,13111,236283,3438,8391,4114,6213,58075,8360,4118,40369
3776,13967,301121,2883,8104,4484,6744,44429,5919,18790,57340
2721,6584,113108,1351,2881,1998,2512,9488,2503,1208,10455
9523,19875,419539,3552,10685,6761,9838,36077,7989,17614,14722
44188,29442,559552,6967,16061,9188,13619,75487,18080,649,59739
14185,32499,667974,10824,13822,9638,14058,19550,12723,11913,15332
13668,30966,604175,5333,12678,9782,14331,16828,27404,59905,145052
68111,44833,952463,7317,40986,13436,19592,60080,19491,41525,119382
8861,29182,553954,25684,25636,17211,13040,18491,11228,45767,9038
6193,35968,816046,30375,14393,14966,15588,19462,15458,3303,88043
5412,7736,135879,1572,4040,2107,3210,14368,2742,14419,8473
65,17984,389248,6048,9651,6132,9090,23372,9581,71033,13768
13779,37412,761481,5882,17039,11703,14753,57163,12114,12242,55427
1704,12032,211462,2470,5915,3692,5773,19081,6096,7854,8565
1711,19007,361205,3069,9941,6680,9334,26391,15697,12755,95619
0,3786,86603,631,2564,1770,1833,13226,1374,4453,1262
125,9034,186272,1598,8326,3074,4341,27616,3515,8834,993
2481,9873,188151,1670,4769,3294,4384,29119,6439,14057,41580
8318,8870,220699,1948,16084,3170,4079,40835,6400,54056,21255
6536,5329,69929,9899,1831,2515,2010,2052,1830,592,1830
7036,15029,262824,3780,6625,4269,7246,8076,4489,0,17861
11762,44832,1134474,7630,27564,14904,17425,173299,12885,86433,347290
0,10016,194919,1687,5061,3374,6077,5670,7738,3173,37241
11352,22299,424481,21210,25962,14330,15224,16516,10654,46173,46364
4578,15267,298238,2500,7373,5989,6970,26515,7325,262,66899
12383,29718,577206,5306,14069,9838,22402,16749,26856,64250,45864
6805,22006,530518,9352,45646,10381,24525,11116,9615,44191,2972
11715,38670,855634,10139,22861,12732,26933,45464,26819,189279,106653
12675,8502,166890,1530,5452,2834,4251,35196,3461,9285,41508
8438,26268,501257,6808,12432,7820,15030,46272,35368,63805,67162
12306,16704,314370,3352,7368,4711,6763,20708,6268,8150,41167
1094,6514,141475,1218,2943,2200,2232,2954,2363,20814,25686
17387,31679,618230,5893,13251,9641,3656,24249,3390,15892,27500
971,4221,95563,1021,1520,1520,2584,2280,1520,11340,44988
14529,20145,403414,4370,24418,8663,19105,11391,7151,43143,6606
4087,25992,551214,4106,11015,8017,16722,31897,18438,128950,31927
10499,13665,289140,7542,5959,5739,6764,33998,11343,19087,37945
8596,46712,1048490,39293,22208,20594,28047,70121,37286,108919,18007
2508,21421,433529,8966,10012,7756,54013,12551,11092,66272,6725
4204,5628,92706,0,2065,1786,2814,2814,1151,342,27873
7971,21301,426373,3546,10940,8392,10638,25227,9069,101097,69555
733,2814,55774,469,938,938,1407,1407,1116,0,4309
12334,60368,1338032,31585,27680,23055,31737,34622,25477,20174,18816
32910,21665,465660,13781,16106,9281,17711,17328,7934,37239,7371
20282,58992,1049410,10139,26625,19572,7582,64059,10957,201811,93933
4923,14451,322555,2507,8882,8437,6476,47598,7786,3364,86137
3180,18659,360356,3856,10650,6422,14020,30082,17741,30626,1682
14111,17899,285773,2472,6540,4520,21576,9510,8175,1383,6161
1781,7223,157184,1244,3562,2488,1814,24677,3238,1621,41080
1085,11289,204735,3,17416,2915,5304,50790,15573,24242,155177
346,11142,245764,1940,5573,3880,6453,12968,11342,49380,82135
2039,23688,520608,3077,20029,7123,11463,24968,23744,14721,207633
22800,48566,941999,9755,37587,13254,24760,29177,27661,47166,289415
0,5088,101721,1174,1696,1696,0,2455,0,166,0
5328,11992,311442,2027,9185,3289,4916,14922,27092,46898,37478
2494,2682,51452,447,1636,894,1341,5722,7242,30748,2731
13514,23413,484701,3322,15871,7206,0,13748,0,5590,0
3514,20038,336664,3266,9593,5552,38469,26964,28712,4613,36278
15784,35333,715797,7669,49814,22936,42335,20917,13986,110377,7191
3940,14937,259596,3361,6795,5428,6975,16737,10650,12409,36377
9649,27831,568645,4504,15388,8207,12258,33435,8540,78122,158394
13852,51116,1113527,10932,29242,18560,23367,123355,61325,74442,196304
5425,8226,117561,1926,2742,2105,4113,4113,3839,1214,20581
3585,14425,306902,2350,6648,4657,12143,8593,39037,79732,39050
47990,30157,617572,4387,23320,9377,8047,113136,5845,26732,20763
10639,29508,667292,2802,14754,9145,0,19447,0,111309,0
2898,19120,301319,19416,9829,10322,1142,11002,613,28817,1142
2219,6485,161786,1103,3309,1743,0,17551,0,349,0
20241,19577,401333,3123,13292,6590,0,127095,0,3393,0
0,5122,93572,1012,3616,1822,2274,7562,5509,1166,1931
6123,15795,333669,3949,11067,5342,7923,105208,7740,8188,55220
13023,38550,769345,35025,147228,17587,37143,21490,14426,75044,12150
10074,47620,939931,8616,26886,15632,22863,37314,15516,48205,275539
3349,13215,274293,2815,6540,4844,6377,11935,22253,85202,15618
14365,24952,511862,10720,11208,7440,11261,35103,10563,101842,33356
0,7442,157711,2584,4338,2758,4137,7469,2852,76,4266
7476,29293,477233,6683,38175,8911,12314,139356,15834,9331,62450
17368,68485,1327944,11037,29216,20885,33881,67087,70743,263875,548526
4200,13167,193773,3964,6027,3647,6027,6268,6027,2046,4844
6930,20819,376449,3601,9261,5376,2466,30818,2780,3385,36484
9429,22917,411860,3634,13722,7268,3672,25728,3023,0,2448
73249,82443,1611494,6157,38332,24275,30913,119360,53532,86221,174602
14911,37985,709193,7199,18905,12646,20929,37589,16115,68460,23639
9765,24436,432614,4393,14823,5755,11780,12252,13257,17372,42267
13044,53372,1044304,8205,18317,17543,24615,26671,21275,123428,345060
3743,30007,652870,5472,14219,9424,13122,39705,18868,24128,72630
8062,80458,1578069,11065,56134,24829,39346,165204,97263,119270,463420
13761,27652,502859,5682,19687,8481,15792,26668,19313,73165,24598
17986,20071,359423,4087,7803,6391,2265,12049,6591,16913,2069
4016,7278,164443,1213,3059,2426,3589,3639,3415,14063,56619
11220,26391,529898,12771,13290,11496,12179,15313,9464,17437,56654
5795,15311,268945,3263,8615,4986,6525,60548,6275,18834,45434
1542,7068,146737,1178,3916,2190,4299,18632,5610,49746,43822
4730,14887,246762,8447,7872,4349,0,48909,0,0,0
5953,30906,500710,4385,13955,8110,8071,30960,7300,62136,85196
13568,25618,499909,4083,12976,7826,8237,39897,17072,54036,47924
4479,4750,101251,1744,2386,974,2292,4693,1986,890,3195
1042,5058,78206,1321,2529,1390,2542,2529,1686,843,1686
2192,23391,362442,4703,14816,7792,9382,90328,19111,49383,129843
1919,8026,173947,2300,4417,2951,3943,3587,4318,2318,2976
0,6285,117461,11448,4252,4335,1458,3841,970,9780,793
26923,16306,318214,10088,6541,4770,8694,4165,5927,562,32294
11646,26182,475827,9207,9421,7369,13595,31967,12240,3530,81401
3491,17598,358167,2995,7359,5147,0,11576,0,33400,0
4464,9239,173271,18617,16421,5125,2775,5124,1850,13677,1850
12390,25990,504848,4216,15143,7959,12869,66324,19705,37606,74330
4450,19338,348368,3023,11928,4960,7987,10747,13392,14988,142806
852,10344,179094,5397,11334,4029,4526,26803,3448,2505,40198
15290,12371,208974,12144,5617,5288,4873,21285,17205,10546,4100
4444,17997,368892,2847,8604,5138,16827,24518,15066,39204,38654
5162,33963,569624,6139,15842,10173,18774,37884,27887,22905,132649
641,8002,141981,274,3462,1683,4209,19310,3758,2371,10586
22699,14528,279302,14722,14740,7582,22594,7793,5881,25564,7725
9171,20454,401158,5883,26705,11302,18778,49667,8173,47639,73085
3176,10952,193617,2433,4928,5873,5295,24752,3544,21767,54092
1859,7918,174359,1198,3031,2188,3217,3603,1895,558,20909
