method,dimension,accuracy
k-means,60,0.84
gmm,60,0.845
spectral clustering,60,0.845
kernel k-means,60,0.85
kernel k-groups,60,0.845
k-means,85,0.83
gmm,85,0.78
spectral clustering,85,0.835
kernel k-means,85,0.855
kernel k-groups,85,0.835
k-means,110,0.8
gmm,110,0.61
spectral clustering,110,0.865
kernel k-means,110,0.755
kernel k-groups,110,0.865
k-means,135,0.775
gmm,135,0.845
spectral clustering,135,0.86
kernel k-means,135,0.58
kernel k-groups,135,0.855
k-means,160,0.815
gmm,160,0.85
spectral clustering,160,0.86
kernel k-means,160,0.755
kernel k-groups,160,0.855
k-means,185,0.835
gmm,185,0.835
spectral clustering,185,0.815
kernel k-means,185,0.785
kernel k-groups,185,0.83
k-means,210,0.78
gmm,210,0.765
spectral clustering,210,0.77
kernel k-means,210,0.735
kernel k-groups,210,0.78
k-means,235,0.795
gmm,235,0.525
spectral clustering,235,0.84
kernel k-means,235,0.58
kernel k-groups,235,0.845
k-means,260,0.725
gmm,260,0.725
spectral clustering,260,0.8
kernel k-means,260,0.635
kernel k-groups,260,0.815
k-means,285,0.755
gmm,285,0.59
spectral clustering,285,0.75
kernel k-means,285,0.59
kernel k-groups,285,0.785
k-means,310,0.585
gmm,310,0.685
spectral clustering,310,0.795
kernel k-means,310,0.5
kernel k-groups,310,0.76
k-means,335,0.635
gmm,335,0.575
spectral clustering,335,0.82
kernel k-means,335,0.59
kernel k-groups,335,0.875
k-means,360,0.63
gmm,360,0.755
spectral clustering,360,0.83
kernel k-means,360,0.64
kernel k-groups,360,0.775
k-means,385,0.765
gmm,385,0.615
spectral clustering,385,0.805
kernel k-means,385,0.625
kernel k-groups,385,0.825
k-means,410,0.685
gmm,410,0.53
spectral clustering,410,0.83
kernel k-means,410,0.675
kernel k-groups,410,0.805
k-means,435,0.59
gmm,435,0.505
spectral clustering,435,0.74
kernel k-means,435,0.61
kernel k-groups,435,0.71
k-means,460,0.6
gmm,460,0.515
spectral clustering,460,0.825
kernel k-means,460,0.605
kernel k-groups,460,0.8
k-means,485,0.605
gmm,485,0.515
spectral clustering,485,0.815
kernel k-means,485,0.585
kernel k-groups,485,0.82
k-means,510,0.58
gmm,510,0.56
spectral clustering,510,0.795
kernel k-means,510,0.59
kernel k-groups,510,0.775
k-means,535,0.635
gmm,535,0.675
spectral clustering,535,0.815
kernel k-means,535,0.665
kernel k-groups,535,0.815
k-means,560,0.5
gmm,560,0.54
spectral clustering,560,0.755
kernel k-means,560,0.51
kernel k-groups,560,0.82
k-means,585,0.705
gmm,585,0.525
spectral clustering,585,0.87
kernel k-means,585,0.565
kernel k-groups,585,0.875
k-means,610,0.585
gmm,610,0.625
spectral clustering,610,0.755
kernel k-means,610,0.515
kernel k-groups,610,0.755
k-means,635,0.645
gmm,635,0.6
spectral clustering,635,0.86
kernel k-means,635,0.58
kernel k-groups,635,0.855
k-means,660,0.535
gmm,660,0.595
spectral clustering,660,0.815
kernel k-means,660,0.59
kernel k-groups,660,0.79
k-means,685,0.59
gmm,685,0.505
spectral clustering,685,0.775
kernel k-means,685,0.51
kernel k-groups,685,0.69
k-means,710,0.505
gmm,710,0.675
spectral clustering,710,0.81
kernel k-means,710,0.54
kernel k-groups,710,0.8
k-means,10,0.795
gmm,10,0.955
spectral clustering,10,0.85
kernel k-means,10,0.89
kernel k-groups,10,0.89
k-means,35,0.84
gmm,35,0.84
spectral clustering,35,0.845
kernel k-means,35,0.815
kernel k-groups,35,0.845
k-means,60,0.825
gmm,60,0.795
spectral clustering,60,0.83
kernel k-means,60,0.805
kernel k-groups,60,0.835
k-means,85,0.875
gmm,85,0.875
spectral clustering,85,0.85
kernel k-means,85,0.88
kernel k-groups,85,0.875
k-means,110,0.84
gmm,110,0.575
spectral clustering,110,0.865
kernel k-means,110,0.805
kernel k-groups,110,0.86
k-means,135,0.84
gmm,135,0.825
spectral clustering,135,0.835
kernel k-means,135,0.85
kernel k-groups,135,0.835
k-means,160,0.665
gmm,160,0.575
spectral clustering,160,0.775
kernel k-means,160,0.525
kernel k-groups,160,0.8
k-means,185,0.865
gmm,185,0.865
spectral clustering,185,0.855
kernel k-means,185,0.67
kernel k-groups,185,0.875
k-means,210,0.795
gmm,210,0.815
spectral clustering,210,0.845
kernel k-means,210,0.705
kernel k-groups,210,0.825
k-means,235,0.82
gmm,235,0.78
spectral clustering,235,0.855
kernel k-means,235,0.675
kernel k-groups,235,0.835
k-means,260,0.75
gmm,260,0.61
spectral clustering,260,0.775
kernel k-means,260,0.57
kernel k-groups,260,0.78
k-means,285,0.805
gmm,285,0.795
spectral clustering,285,0.845
kernel k-means,285,0.65
kernel k-groups,285,0.8
k-means,310,0.715
gmm,310,0.71
spectral clustering,310,0.795
kernel k-means,310,0.61
kernel k-groups,310,0.8
k-means,335,0.52
gmm,335,0.59
spectral clustering,335,0.885
kernel k-means,335,0.645
kernel k-groups,335,0.89
k-means,360,0.615
gmm,360,0.71
spectral clustering,360,0.76
kernel k-means,360,0.52
kernel k-groups,360,0.775
k-means,385,0.64
gmm,385,0.66
spectral clustering,385,0.785
kernel k-means,385,0.675
kernel k-groups,385,0.79
k-means,410,0.555
gmm,410,0.51
spectral clustering,410,0.84
kernel k-means,410,0.605
kernel k-groups,410,0.835
k-means,435,0.735
gmm,435,0.645
spectral clustering,435,0.81
kernel k-means,435,0.615
kernel k-groups,435,0.745
k-means,460,0.69
gmm,460,0.515
spectral clustering,460,0.805
kernel k-means,460,0.55
kernel k-groups,460,0.81
k-means,485,0.695
gmm,485,0.655
spectral clustering,485,0.81
kernel k-means,485,0.565
kernel k-groups,485,0.825
k-means,510,0.52
gmm,510,0.545
spectral clustering,510,0.755
kernel k-means,510,0.555
kernel k-groups,510,0.785
k-means,535,0.62
gmm,535,0.54
spectral clustering,535,0.825
kernel k-means,535,0.595
kernel k-groups,535,0.84
k-means,560,0.645
gmm,560,0.515
spectral clustering,560,0.825
kernel k-means,560,0.51
kernel k-groups,560,0.845
k-means,585,0.645
gmm,585,0.675
spectral clustering,585,0.81
kernel k-means,585,0.595
kernel k-groups,585,0.78
k-means,610,0.5
gmm,610,0.53
spectral clustering,610,0.8
kernel k-means,610,0.605
kernel k-groups,610,0.835
k-means,635,0.54
gmm,635,0.565
spectral clustering,635,0.795
kernel k-means,635,0.585
kernel k-groups,635,0.81
k-means,660,0.615
gmm,660,0.545
spectral clustering,660,0.79
kernel k-means,660,0.55
kernel k-groups,660,0.815
k-means,685,0.51
gmm,685,0.535
spectral clustering,685,0.815
kernel k-means,685,0.505
kernel k-groups,685,0.735
k-means,710,0.52
gmm,710,0.52
spectral clustering,710,0.745
kernel k-means,710,0.5
kernel k-groups,710,0.75
k-means,10,0.755
gmm,10,0.895
spectral clustering,10,0.81
kernel k-means,10,0.85
kernel k-groups,10,0.88
k-means,35,0.865
gmm,35,0.875
spectral clustering,35,0.835
kernel k-means,35,0.885
kernel k-groups,35,0.88
k-means,60,0.855
gmm,60,0.81
spectral clustering,60,0.82
kernel k-means,60,0.795
kernel k-groups,60,0.815
k-means,85,0.755
gmm,85,0.695
spectral clustering,85,0.78
kernel k-means,85,0.72
kernel k-groups,85,0.79
k-means,110,0.85
gmm,110,0.855
spectral clustering,110,0.85
kernel k-means,110,0.855
kernel k-groups,110,0.86
k-means,135,0.85
gmm,135,0.865
spectral clustering,135,0.87
kernel k-means,135,0.75
kernel k-groups,135,0.86
k-means,160,0.815
gmm,160,0.835
spectral clustering,160,0.795
kernel k-means,160,0.77
kernel k-groups,160,0.79
k-means,185,0.8
gmm,185,0.83
spectral clustering,185,0.815
kernel k-means,185,0.765
kernel k-groups,185,0.825
k-means,210,0.82
gmm,210,0.86
spectral clustering,210,0.855
kernel k-means,210,0.73
kernel k-groups,210,0.84
k-means,235,0.84
gmm,235,0.58
spectral clustering,235,0.86
kernel k-means,235,0.7
kernel k-groups,235,0.865
k-means,260,0.795
gmm,260,0.74
spectral clustering,260,0.81
kernel k-means,260,0.6
kernel k-groups,260,0.825
k-means,285,0.525
gmm,285,0.595
spectral clustering,285,0.84
kernel k-means,285,0.54
kernel k-groups,285,0.835
k-means,310,0.655
gmm,310,0.57
spectral clustering,310,0.8
kernel k-means,310,0.595
kernel k-groups,310,0.8
k-means,335,0.53
gmm,335,0.59
spectral clustering,335,0.765
kernel k-means,335,0.615
kernel k-groups,335,0.77
k-means,360,0.785
gmm,360,0.53
spectral clustering,360,0.83
kernel k-means,360,0.525
kernel k-groups,360,0.84
k-means,385,0.66
gmm,385,0.545
spectral clustering,385,0.81
kernel k-means,385,0.53
kernel k-groups,385,0.78
k-means,410,0.725
gmm,410,0.56
spectral clustering,410,0.805
kernel k-means,410,0.63
kernel k-groups,410,0.765
k-means,435,0.6
gmm,435,0.535
spectral clustering,435,0.825
kernel k-means,435,0.635
kernel k-groups,435,0.8
k-means,460,0.525
gmm,460,0.665
spectral clustering,460,0.83
kernel k-means,460,0.545
kernel k-groups,460,0.815
k-means,485,0.575
gmm,485,0.635
spectral clustering,485,0.735
kernel k-means,485,0.63
kernel k-groups,485,0.69
k-means,510,0.74
gmm,510,0.555
spectral clustering,510,0.815
kernel k-means,510,0.53
kernel k-groups,510,0.84
k-means,535,0.615
gmm,535,0.51
spectral clustering,535,0.745
kernel k-means,535,0.625
kernel k-groups,535,0.74
k-means,560,0.515
gmm,560,0.615
spectral clustering,560,0.78
kernel k-means,560,0.58
kernel k-groups,560,0.81
k-means,585,0.555
gmm,585,0.635
spectral clustering,585,0.84
kernel k-means,585,0.56
kernel k-groups,585,0.83
k-means,610,0.615
gmm,610,0.54
spectral clustering,610,0.77
kernel k-means,610,0.55
kernel k-groups,610,0.8
k-means,635,0.515
gmm,635,0.53
spectral clustering,635,0.84
kernel k-means,635,0.585
kernel k-groups,635,0.85
k-means,660,0.59
gmm,660,0.555
spectral clustering,660,0.745
kernel k-means,660,0.5
kernel k-groups,660,0.735
k-means,685,0.615
gmm,685,0.505
spectral clustering,685,0.725
kernel k-means,685,0.59
kernel k-groups,685,0.735
k-means,710,0.58
gmm,710,0.525
spectral clustering,710,0.815
kernel k-means,710,0.585
kernel k-groups,710,0.8
k-means,10,0.905
gmm,10,0.915
spectral clustering,10,0.91
kernel k-means,10,0.94
kernel k-groups,10,0.935
k-means,35,0.85
gmm,35,0.88
spectral clustering,35,0.865
kernel k-means,35,0.865
kernel k-groups,35,0.865
k-means,60,0.92
gmm,60,0.835
spectral clustering,60,0.87
kernel k-means,60,0.92
kernel k-groups,60,0.915
k-means,85,0.86
gmm,85,0.825
spectral clustering,85,0.895
kernel k-means,85,0.85
kernel k-groups,85,0.88
k-means,110,0.845
gmm,110,0.8
spectral clustering,110,0.835
kernel k-means,110,0.835
kernel k-groups,110,0.845
k-means,135,0.855
gmm,135,0.85
spectral clustering,135,0.855
kernel k-means,135,0.845
kernel k-groups,135,0.85
k-means,160,0.785
gmm,160,0.65
spectral clustering,160,0.81
kernel k-means,160,0.595
kernel k-groups,160,0.83
k-means,185,0.82
gmm,185,0.835
spectral clustering,185,0.845
kernel k-means,185,0.715
kernel k-groups,185,0.885
k-means,210,0.765
gmm,210,0.53
spectral clustering,210,0.805
kernel k-means,210,0.72
kernel k-groups,210,0.81
k-means,235,0.795
gmm,235,0.805
spectral clustering,235,0.845
kernel k-means,235,0.615
kernel k-groups,235,0.855
k-means,260,0.69
gmm,260,0.54
spectral clustering,260,0.8
kernel k-means,260,0.545
kernel k-groups,260,0.865
k-means,285,0.705
gmm,285,0.61
spectral clustering,285,0.83
kernel k-means,285,0.58
kernel k-groups,285,0.785
k-means,310,0.73
gmm,310,0.665
spectral clustering,310,0.81
kernel k-means,310,0.54
kernel k-groups,310,0.81
k-means,335,0.82
gmm,335,0.8
spectral clustering,335,0.855
kernel k-means,335,0.645
kernel k-groups,335,0.88
k-means,360,0.71
gmm,360,0.565
spectral clustering,360,0.8
kernel k-means,360,0.6
kernel k-groups,360,0.785
k-means,385,0.71
gmm,385,0.53
spectral clustering,385,0.785
kernel k-means,385,0.67
kernel k-groups,385,0.775
k-means,410,0.66
gmm,410,0.61
spectral clustering,410,0.82
kernel k-means,410,0.58
kernel k-groups,410,0.815
k-means,435,0.615
gmm,435,0.575
spectral clustering,435,0.855
kernel k-means,435,0.615
kernel k-groups,435,0.83
k-means,460,0.645
gmm,460,0.705
spectral clustering,460,0.815
kernel k-means,460,0.63
kernel k-groups,460,0.79
k-means,485,0.58
gmm,485,0.54
spectral clustering,485,0.775
kernel k-means,485,0.535
kernel k-groups,485,0.74
k-means,510,0.56
gmm,510,0.555
spectral clustering,510,0.74
kernel k-means,510,0.51
kernel k-groups,510,0.755
k-means,535,0.66
gmm,535,0.575
spectral clustering,535,0.76
kernel k-means,535,0.57
kernel k-groups,535,0.795
k-means,560,0.585
gmm,560,0.545
spectral clustering,560,0.85
kernel k-means,560,0.555
kernel k-groups,560,0.85
k-means,585,0.51
gmm,585,0.53
spectral clustering,585,0.79
kernel k-means,585,0.505
kernel k-groups,585,0.8
k-means,610,0.515
gmm,610,0.54
spectral clustering,610,0.83
kernel k-means,610,0.625
kernel k-groups,610,0.805
k-means,635,0.5
gmm,635,0.53
spectral clustering,635,0.725
kernel k-means,635,0.585
kernel k-groups,635,0.74
k-means,660,0.51
gmm,660,0.535
spectral clustering,660,0.765
kernel k-means,660,0.59
kernel k-groups,660,0.765
k-means,685,0.56
gmm,685,0.55
spectral clustering,685,0.82
kernel k-means,685,0.595
kernel k-groups,685,0.79
k-means,710,0.595
gmm,710,0.56
spectral clustering,710,0.705
kernel k-means,710,0.585
kernel k-groups,710,0.685
k-means,10,0.825
gmm,10,0.91
spectral clustering,10,0.825
kernel k-means,10,0.86
kernel k-groups,10,0.85
k-means,35,0.8
gmm,35,0.785
spectral clustering,35,0.84
kernel k-means,35,0.85
kernel k-groups,35,0.83
k-means,60,0.82
gmm,60,0.82
spectral clustering,60,0.82
kernel k-means,60,0.83
kernel k-groups,60,0.82
k-means,85,0.84
gmm,85,0.8
spectral clustering,85,0.845
kernel k-means,85,0.86
kernel k-groups,85,0.84
k-means,110,0.835
gmm,110,0.825
spectral clustering,110,0.865
kernel k-means,110,0.845
kernel k-groups,110,0.835
k-means,135,0.715
gmm,135,0.785
spectral clustering,135,0.84
kernel k-means,135,0.815
kernel k-groups,135,0.84
k-means,160,0.825
gmm,160,0.605
spectral clustering,160,0.845
kernel k-means,160,0.785
kernel k-groups,160,0.845
k-means,185,0.805
gmm,185,0.83
spectral clustering,185,0.855
kernel k-means,185,0.825
kernel k-groups,185,0.84
k-means,210,0.81
gmm,210,0.78
spectral clustering,210,0.86
kernel k-means,210,0.755
kernel k-groups,210,0.85
k-means,235,0.745
gmm,235,0.82
spectral clustering,235,0.835
kernel k-means,235,0.72
kernel k-groups,235,0.855
k-means,260,0.675
gmm,260,0.6
spectral clustering,260,0.86
kernel k-means,260,0.705
kernel k-groups,260,0.88
k-means,285,0.6
gmm,285,0.66
spectral clustering,285,0.775
kernel k-means,285,0.545
kernel k-groups,285,0.835
k-means,310,0.84
gmm,310,0.745
spectral clustering,310,0.8
kernel k-means,310,0.635
kernel k-groups,310,0.815
k-means,335,0.635
gmm,335,0.515
spectral clustering,335,0.8
kernel k-means,335,0.605
kernel k-groups,335,0.82
k-means,360,0.585
gmm,360,0.6
spectral clustering,360,0.82
kernel k-means,360,0.62
kernel k-groups,360,0.82
k-means,385,0.76
gmm,385,0.745
spectral clustering,385,0.84
kernel k-means,385,0.63
kernel k-groups,385,0.87
k-means,410,0.69
gmm,410,0.59
spectral clustering,410,0.785
kernel k-means,410,0.505
kernel k-groups,410,0.85
k-means,435,0.52
gmm,435,0.55
spectral clustering,435,0.685
kernel k-means,435,0.575
kernel k-groups,435,0.675
k-means,460,0.545
gmm,460,0.51
spectral clustering,460,0.785
kernel k-means,460,0.57
kernel k-groups,460,0.805
k-means,485,0.645
gmm,485,0.62
spectral clustering,485,0.805
kernel k-means,485,0.64
kernel k-groups,485,0.82
k-means,510,0.67
gmm,510,0.52
spectral clustering,510,0.8
kernel k-means,510,0.65
kernel k-groups,510,0.835
k-means,535,0.565
gmm,535,0.595
spectral clustering,535,0.785
kernel k-means,535,0.515
kernel k-groups,535,0.815
k-means,560,0.695
gmm,560,0.555
spectral clustering,560,0.815
kernel k-means,560,0.555
kernel k-groups,560,0.835
k-means,585,0.52
gmm,585,0.6
spectral clustering,585,0.77
kernel k-means,585,0.605
kernel k-groups,585,0.81
k-means,610,0.52
gmm,610,0.62
spectral clustering,610,0.745
kernel k-means,610,0.595
kernel k-groups,610,0.775
k-means,635,0.58
gmm,635,0.645
spectral clustering,635,0.8
kernel k-means,635,0.515
kernel k-groups,635,0.785
k-means,660,0.53
gmm,660,0.57
spectral clustering,660,0.77
kernel k-means,660,0.545
kernel k-groups,660,0.765
k-means,685,0.6
gmm,685,0.565
spectral clustering,685,0.75
kernel k-means,685,0.525
kernel k-groups,685,0.775
k-means,710,0.55
gmm,710,0.555
spectral clustering,710,0.795
kernel k-means,710,0.545
kernel k-groups,710,0.76
k-means,10,0.84
gmm,10,0.9
spectral clustering,10,0.87
kernel k-means,10,0.88
kernel k-groups,10,0.895
k-means,35,0.775
gmm,35,0.785
spectral clustering,35,0.83
kernel k-means,35,0.835
kernel k-groups,35,0.845
k-means,60,0.885
gmm,60,0.79
spectral clustering,60,0.815
kernel k-means,60,0.855
kernel k-groups,60,0.885
k-means,85,0.855
gmm,85,0.85
spectral clustering,85,0.87
kernel k-means,85,0.86
kernel k-groups,85,0.865
k-means,110,0.795
gmm,110,0.855
spectral clustering,110,0.83
kernel k-means,110,0.72
kernel k-groups,110,0.855
k-means,135,0.77
gmm,135,0.52
spectral clustering,135,0.8
kernel k-means,135,0.74
kernel k-groups,135,0.81
k-means,160,0.845
gmm,160,0.865
spectral clustering,160,0.855
kernel k-means,160,0.805
kernel k-groups,160,0.79
k-means,185,0.805
gmm,185,0.85
spectral clustering,185,0.795
kernel k-means,185,0.635
kernel k-groups,185,0.8
k-means,210,0.73
gmm,210,0.8
spectral clustering,210,0.83
kernel k-means,210,0.73
kernel k-groups,210,0.85
k-means,235,0.815
gmm,235,0.77
spectral clustering,235,0.83
kernel k-means,235,0.635
kernel k-groups,235,0.85
k-means,260,0.805
gmm,260,0.675
spectral clustering,260,0.85
kernel k-means,260,0.69
kernel k-groups,260,0.845
k-means,285,0.65
gmm,285,0.72
spectral clustering,285,0.825
kernel k-means,285,0.535
kernel k-groups,285,0.82
k-means,310,0.765
gmm,310,0.82
spectral clustering,310,0.855
kernel k-means,310,0.625
kernel k-groups,310,0.86
k-means,335,0.58
gmm,335,0.56
spectral clustering,335,0.815
kernel k-means,335,0.63
kernel k-groups,335,0.84
k-means,360,0.615
gmm,360,0.545
spectral clustering,360,0.865
kernel k-means,360,0.605
kernel k-groups,360,0.805
k-means,385,0.67
gmm,385,0.555
spectral clustering,385,0.73
kernel k-means,385,0.595
kernel k-groups,385,0.72
k-means,410,0.695
gmm,410,0.62
spectral clustering,410,0.805
kernel k-means,410,0.64
kernel k-groups,410,0.78
k-means,435,0.725
gmm,435,0.545
spectral clustering,435,0.805
kernel k-means,435,0.685
kernel k-groups,435,0.805
k-means,460,0.655
gmm,460,0.55
spectral clustering,460,0.84
kernel k-means,460,0.655
kernel k-groups,460,0.805
k-means,485,0.655
gmm,485,0.645
spectral clustering,485,0.825
kernel k-means,485,0.625
kernel k-groups,485,0.815
k-means,510,0.625
gmm,510,0.515
spectral clustering,510,0.81
kernel k-means,510,0.6
kernel k-groups,510,0.85
k-means,535,0.605
gmm,535,0.645
spectral clustering,535,0.815
kernel k-means,535,0.605
kernel k-groups,535,0.78
k-means,560,0.745
gmm,560,0.51
spectral clustering,560,0.89
kernel k-means,560,0.61
kernel k-groups,560,0.91
k-means,585,0.54
gmm,585,0.505
spectral clustering,585,0.785
kernel k-means,585,0.58
kernel k-groups,585,0.78
k-means,610,0.6
gmm,610,0.57
spectral clustering,610,0.745
kernel k-means,610,0.6
kernel k-groups,610,0.76
k-means,635,0.565
gmm,635,0.575
spectral clustering,635,0.825
kernel k-means,635,0.67
kernel k-groups,635,0.79
k-means,660,0.54
gmm,660,0.575
spectral clustering,660,0.81
kernel k-means,660,0.5
kernel k-groups,660,0.755
k-means,685,0.525
gmm,685,0.565
spectral clustering,685,0.755
kernel k-means,685,0.515
kernel k-groups,685,0.72
k-means,710,0.51
gmm,710,0.625
spectral clustering,710,0.69
kernel k-means,710,0.605
kernel k-groups,710,0.7
k-means,10,0.89
gmm,10,0.95
spectral clustering,10,0.905
kernel k-means,10,0.925
kernel k-groups,10,0.925
k-means,35,0.825
gmm,35,0.83
spectral clustering,35,0.805
kernel k-means,35,0.835
kernel k-groups,35,0.84
k-means,60,0.845
gmm,60,0.83
spectral clustering,60,0.87
kernel k-means,60,0.855
kernel k-groups,60,0.875
k-means,85,0.83
gmm,85,0.805
spectral clustering,85,0.855
kernel k-means,85,0.855
kernel k-groups,85,0.875
k-means,110,0.79
gmm,110,0.78
spectral clustering,110,0.795
kernel k-means,110,0.815
kernel k-groups,110,0.8
k-means,135,0.835
gmm,135,0.5
spectral clustering,135,0.81
kernel k-means,135,0.75
kernel k-groups,135,0.83
k-means,160,0.81
gmm,160,0.78
spectral clustering,160,0.85
kernel k-means,160,0.58
kernel k-groups,160,0.845
k-means,185,0.8
gmm,185,0.7
spectral clustering,185,0.77
kernel k-means,185,0.67
kernel k-groups,185,0.78
k-means,210,0.805
gmm,210,0.86
spectral clustering,210,0.85
kernel k-means,210,0.725
kernel k-groups,210,0.87
k-means,235,0.775
gmm,235,0.76
spectral clustering,235,0.8
kernel k-means,235,0.585
kernel k-groups,235,0.81
k-means,260,0.725
gmm,260,0.72
spectral clustering,260,0.805
kernel k-means,260,0.5
kernel k-groups,260,0.79
k-means,285,0.82
gmm,285,0.69
spectral clustering,285,0.875
kernel k-means,285,0.745
kernel k-groups,285,0.865
k-means,310,0.705
gmm,310,0.505
spectral clustering,310,0.82
kernel k-means,310,0.645
kernel k-groups,310,0.825
k-means,335,0.795
gmm,335,0.765
spectral clustering,335,0.82
kernel k-means,335,0.56
kernel k-groups,335,0.83
k-means,360,0.765
gmm,360,0.53
spectral clustering,360,0.83
kernel k-means,360,0.575
kernel k-groups,360,0.815
k-means,385,0.775
gmm,385,0.725
spectral clustering,385,0.84
kernel k-means,385,0.67
kernel k-groups,385,0.805
k-means,410,0.53
gmm,410,0.595
spectral clustering,410,0.79
kernel k-means,410,0.58
kernel k-groups,410,0.83
k-means,435,0.695
gmm,435,0.53
spectral clustering,435,0.86
kernel k-means,435,0.545
kernel k-groups,435,0.885
k-means,460,0.615
gmm,460,0.58
spectral clustering,460,0.54
kernel k-means,460,0.52
kernel k-groups,460,0.63
k-means,485,0.65
gmm,485,0.545
spectral clustering,485,0.82
kernel k-means,485,0.56
kernel k-groups,485,0.795
k-means,510,0.595
gmm,510,0.515
spectral clustering,510,0.775
kernel k-means,510,0.54
kernel k-groups,510,0.71
k-means,535,0.635
gmm,535,0.625
spectral clustering,535,0.8
kernel k-means,535,0.585
kernel k-groups,535,0.785
k-means,560,0.63
gmm,560,0.505
spectral clustering,560,0.8
kernel k-means,560,0.58
kernel k-groups,560,0.795
k-means,585,0.68
gmm,585,0.585
spectral clustering,585,0.82
kernel k-means,585,0.57
kernel k-groups,585,0.77
k-means,610,0.58
gmm,610,0.505
spectral clustering,610,0.8
kernel k-means,610,0.555
kernel k-groups,610,0.805
k-means,635,0.66
gmm,635,0.505
spectral clustering,635,0.8
kernel k-means,635,0.575
kernel k-groups,635,0.805
k-means,660,0.55
gmm,660,0.52
spectral clustering,660,0.75
kernel k-means,660,0.56
kernel k-groups,660,0.76
k-means,685,0.645
gmm,685,0.535
spectral clustering,685,0.795
kernel k-means,685,0.585
kernel k-groups,685,0.8
k-means,710,0.55
gmm,710,0.545
spectral clustering,710,0.695
kernel k-means,710,0.545
kernel k-groups,710,0.71
k-means,10,0.865
gmm,10,0.9
spectral clustering,10,0.865
kernel k-means,10,0.875
