method,dimension,accuracy
kernel k-groups,30,0.85
k-means,40,0.8
gmm,40,0.685
spectral clustering,40,0.8
kernel k-means,40,0.765
kernel k-groups,40,0.815
k-means,50,0.865
gmm,50,0.535
spectral clustering,50,0.86
kernel k-means,50,0.69
kernel k-groups,50,0.87
k-means,60,0.74
gmm,60,0.745
spectral clustering,60,0.76
kernel k-means,60,0.72
kernel k-groups,60,0.76
k-means,70,0.755
gmm,70,0.53
spectral clustering,70,0.8
kernel k-means,70,0.58
kernel k-groups,70,0.835
k-means,80,0.785
gmm,80,0.625
spectral clustering,80,0.785
kernel k-means,80,0.695
kernel k-groups,80,0.835
k-means,90,0.795
gmm,90,0.76
spectral clustering,90,0.8
kernel k-means,90,0.685
kernel k-groups,90,0.82
k-means,100,0.8
gmm,100,0.59
spectral clustering,100,0.805
kernel k-means,100,0.685
kernel k-groups,100,0.83
k-means,110,0.695
gmm,110,0.56
spectral clustering,110,0.75
kernel k-means,110,0.535
kernel k-groups,110,0.765
k-means,120,0.685
gmm,120,0.61
spectral clustering,120,0.71
kernel k-means,120,0.525
kernel k-groups,120,0.65
k-means,130,0.68
gmm,130,0.55
spectral clustering,130,0.78
kernel k-means,130,0.51
kernel k-groups,130,0.76
k-means,140,0.61
gmm,140,0.53
spectral clustering,140,0.805
kernel k-means,140,0.53
kernel k-groups,140,0.865
k-means,150,0.73
gmm,150,0.625
spectral clustering,150,0.72
kernel k-means,150,0.57
kernel k-groups,150,0.73
k-means,160,0.515
gmm,160,0.565
spectral clustering,160,0.785
kernel k-means,160,0.545
kernel k-groups,160,0.77
k-means,170,0.605
gmm,170,0.51
spectral clustering,170,0.705
kernel k-means,170,0.58
kernel k-groups,170,0.705
k-means,180,0.58
gmm,180,0.57
spectral clustering,180,0.69
kernel k-means,180,0.55
kernel k-groups,180,0.71
k-means,190,0.63
gmm,190,0.605
spectral clustering,190,0.735
kernel k-means,190,0.525
kernel k-groups,190,0.745
k-means,200,0.515
gmm,200,0.515
spectral clustering,200,0.55
kernel k-means,200,0.545
kernel k-groups,200,0.76
k-means,10,0.89
gmm,10,0.595
spectral clustering,10,0.835
kernel k-means,10,0.885
kernel k-groups,10,0.89
k-means,20,0.86
gmm,20,0.74
spectral clustering,20,0.84
kernel k-means,20,0.865
kernel k-groups,20,0.865
k-means,30,0.835
gmm,30,0.58
spectral clustering,30,0.835
kernel k-means,30,0.815
kernel k-groups,30,0.835
k-means,40,0.88
gmm,40,0.865
spectral clustering,40,0.85
kernel k-means,40,0.845
kernel k-groups,40,0.875
k-means,50,0.845
gmm,50,0.57
spectral clustering,50,0.82
kernel k-means,50,0.805
kernel k-groups,50,0.83
k-means,60,0.775
gmm,60,0.5
spectral clustering,60,0.755
kernel k-means,60,0.685
kernel k-groups,60,0.75
k-means,70,0.75
gmm,70,0.575
spectral clustering,70,0.72
kernel k-means,70,0.58
kernel k-groups,70,0.73
k-means,80,0.77
gmm,80,0.68
spectral clustering,80,0.84
kernel k-means,80,0.65
kernel k-groups,80,0.835
k-means,90,0.56
gmm,90,0.525
spectral clustering,90,0.66
kernel k-means,90,0.695
kernel k-groups,90,0.645
k-means,100,0.765
gmm,100,0.565
spectral clustering,100,0.785
kernel k-means,100,0.52
kernel k-groups,100,0.775
k-means,110,0.69
gmm,110,0.74
spectral clustering,110,0.79
kernel k-means,110,0.595
kernel k-groups,110,0.82
k-means,120,0.675
gmm,120,0.705
spectral clustering,120,0.745
kernel k-means,120,0.65
kernel k-groups,120,0.775
k-means,130,0.7
gmm,130,0.535
spectral clustering,130,0.735
kernel k-means,130,0.575
kernel k-groups,130,0.78
k-means,140,0.615
gmm,140,0.725
spectral clustering,140,0.825
kernel k-means,140,0.66
kernel k-groups,140,0.825
k-means,150,0.615
gmm,150,0.635
spectral clustering,150,0.665
kernel k-means,150,0.59
kernel k-groups,150,0.695
k-means,160,0.795
gmm,160,0.715
spectral clustering,160,0.8
kernel k-means,160,0.615
kernel k-groups,160,0.795
k-means,170,0.74
gmm,170,0.685
spectral clustering,170,0.77
kernel k-means,170,0.58
kernel k-groups,170,0.715
k-means,180,0.62
gmm,180,0.535
spectral clustering,180,0.72
kernel k-means,180,0.625
kernel k-groups,180,0.72
k-means,190,0.54
gmm,190,0.515
spectral clustering,190,0.675
kernel k-means,190,0.645
kernel k-groups,190,0.645
k-means,200,0.505
gmm,200,0.51
spectral clustering,200,0.655
kernel k-means,200,0.52
kernel k-groups,200,0.69
k-means,10,0.835
gmm,10,0.865
spectral clustering,10,0.825
kernel k-means,10,0.835
kernel k-groups,10,0.845
k-means,20,0.86
gmm,20,0.825
spectral clustering,20,0.84
kernel k-means,20,0.86
kernel k-groups,20,0.865
k-means,30,0.83
gmm,30,0.81
spectral clustering,30,0.83
kernel k-means,30,0.815
kernel k-groups,30,0.84
k-means,40,0.77
gmm,40,0.625
spectral clustering,40,0.78
kernel k-means,40,0.7
kernel k-groups,40,0.795
k-means,50,0.81
gmm,50,0.84
spectral clustering,50,0.83
kernel k-means,50,0.82
kernel k-groups,50,0.82
k-means,60,0.755
gmm,60,0.505
spectral clustering,60,0.785
kernel k-means,60,0.755
kernel k-groups,60,0.775
k-means,70,0.785
gmm,70,0.725
spectral clustering,70,0.78
kernel k-means,70,0.765
kernel k-groups,70,0.79
k-means,80,0.675
gmm,80,0.61
spectral clustering,80,0.72
kernel k-means,80,0.69
kernel k-groups,80,0.74
k-means,90,0.62
gmm,90,0.51
spectral clustering,90,0.715
kernel k-means,90,0.66
kernel k-groups,90,0.695
k-means,100,0.57
gmm,100,0.575
spectral clustering,100,0.815
kernel k-means,100,0.665
kernel k-groups,100,0.715
k-means,110,0.595
gmm,110,0.525
spectral clustering,110,0.545
kernel k-means,110,0.515
kernel k-groups,110,0.515
k-means,120,0.74
gmm,120,0.645
spectral clustering,120,0.8
kernel k-means,120,0.59
kernel k-groups,120,0.82
k-means,130,0.675
gmm,130,0.59
spectral clustering,130,0.72
kernel k-means,130,0.625
kernel k-groups,130,0.71
k-means,140,0.695
gmm,140,0.61
spectral clustering,140,0.725
kernel k-means,140,0.625
kernel k-groups,140,0.74
k-means,150,0.69
gmm,150,0.56
spectral clustering,150,0.685
kernel k-means,150,0.59
kernel k-groups,150,0.665
k-means,160,0.695
gmm,160,0.61
spectral clustering,160,0.825
kernel k-means,160,0.6
kernel k-groups,160,0.825
k-means,170,0.505
gmm,170,0.645
spectral clustering,170,0.61
kernel k-means,170,0.515
kernel k-groups,170,0.665
k-means,180,0.63
gmm,180,0.55
spectral clustering,180,0.61
kernel k-means,180,0.52
kernel k-groups,180,0.715
k-means,190,0.66
gmm,190,0.56
spectral clustering,190,0.665
kernel k-means,190,0.555
kernel k-groups,190,0.655
k-means,200,0.64
gmm,200,0.625
spectral clustering,200,0.79
kernel k-means,200,0.585
kernel k-groups,200,0.75
k-means,10,0.91
gmm,10,0.75
spectral clustering,10,0.895
kernel k-means,10,0.91
kernel k-groups,10,0.91
k-means,20,0.855
gmm,20,0.825
spectral clustering,20,0.865
kernel k-means,20,0.83
kernel k-groups,20,0.86
k-means,30,0.89
gmm,30,0.835
spectral clustering,30,0.89
kernel k-means,30,0.895
kernel k-groups,30,0.875
k-means,40,0.775
gmm,40,0.555
spectral clustering,40,0.785
kernel k-means,40,0.78
kernel k-groups,40,0.79
k-means,50,0.81
gmm,50,0.73
spectral clustering,50,0.835
kernel k-means,50,0.72
kernel k-groups,50,0.85
k-means,60,0.87
gmm,60,0.825
spectral clustering,60,0.855
kernel k-means,60,0.835
kernel k-groups,60,0.865
k-means,70,0.795
gmm,70,0.56
spectral clustering,70,0.79
kernel k-means,70,0.79
kernel k-groups,70,0.79
k-means,80,0.775
gmm,80,0.695
spectral clustering,80,0.695
kernel k-means,80,0.52
kernel k-groups,80,0.795
k-means,90,0.64
gmm,90,0.555
spectral clustering,90,0.7
kernel k-means,90,0.615
kernel k-groups,90,0.705
k-means,100,0.75
gmm,100,0.525
spectral clustering,100,0.75
kernel k-means,100,0.695
kernel k-groups,100,0.745
k-means,110,0.57
gmm,110,0.615
spectral clustering,110,0.575
kernel k-means,110,0.61
kernel k-groups,110,0.56
k-means,120,0.575
gmm,120,0.6
spectral clustering,120,0.755
kernel k-means,120,0.55
kernel k-groups,120,0.74
k-means,130,0.63
gmm,130,0.615
spectral clustering,130,0.77
kernel k-means,130,0.52
kernel k-groups,130,0.635
k-means,140,0.5
gmm,140,0.585
spectral clustering,140,0.605
kernel k-means,140,0.56
kernel k-groups,140,0.605
k-means,150,0.635
gmm,150,0.51
spectral clustering,150,0.54
kernel k-means,150,0.595
kernel k-groups,150,0.7
k-means,160,0.675
gmm,160,0.56
spectral clustering,160,0.695
kernel k-means,160,0.515
kernel k-groups,160,0.63
k-means,170,0.52
gmm,170,0.63
spectral clustering,170,0.78
kernel k-means,170,0.58
kernel k-groups,170,0.68
k-means,180,0.595
gmm,180,0.525
spectral clustering,180,0.725
kernel k-means,180,0.595
kernel k-groups,180,0.665
k-means,190,0.58
gmm,190,0.55
spectral clustering,190,0.56
kernel k-means,190,0.585
kernel k-groups,190,0.515
k-means,200,0.585
gmm,200,0.545
spectral clustering,200,0.74
kernel k-means,200,0.59
kernel k-groups,200,0.655
k-means,10,0.825
gmm,10,0.67
spectral clustering,10,0.83
kernel k-means,10,0.815
kernel k-groups,10,0.825
k-means,20,0.845
gmm,20,0.745
spectral clustering,20,0.835
kernel k-means,20,0.84
kernel k-groups,20,0.84
k-means,30,0.85
gmm,30,0.8
spectral clustering,30,0.845
kernel k-means,30,0.825
kernel k-groups,30,0.875
k-means,40,0.805
gmm,40,0.51
spectral clustering,40,0.805
kernel k-means,40,0.825
kernel k-groups,40,0.795
k-means,50,0.79
gmm,50,0.825
spectral clustering,50,0.82
kernel k-means,50,0.835
kernel k-groups,50,0.785
k-means,60,0.79
gmm,60,0.515
spectral clustering,60,0.82
kernel k-means,60,0.72
kernel k-groups,60,0.85
k-means,70,0.805
gmm,70,0.735
spectral clustering,70,0.855
kernel k-means,70,0.81
kernel k-groups,70,0.85
k-means,80,0.8
gmm,80,0.515
spectral clustering,80,0.815
kernel k-means,80,0.695
kernel k-groups,80,0.855
k-means,90,0.71
gmm,90,0.595
spectral clustering,90,0.76
kernel k-means,90,0.525
kernel k-groups,90,0.74
k-means,100,0.62
gmm,100,0.605
spectral clustering,100,0.645
kernel k-means,100,0.68
kernel k-groups,100,0.655
k-means,110,0.715
gmm,110,0.695
spectral clustering,110,0.79
kernel k-means,110,0.61
kernel k-groups,110,0.805
k-means,120,0.655
gmm,120,0.54
spectral clustering,120,0.67
kernel k-means,120,0.525
kernel k-groups,120,0.61
k-means,130,0.675
gmm,130,0.735
spectral clustering,130,0.645
kernel k-means,130,0.53
kernel k-groups,130,0.59
k-means,140,0.57
gmm,140,0.53
spectral clustering,140,0.73
kernel k-means,140,0.55
kernel k-groups,140,0.68
k-means,150,0.69
gmm,150,0.58
spectral clustering,150,0.75
kernel k-means,150,0.505
kernel k-groups,150,0.735
k-means,160,0.615
gmm,160,0.575
spectral clustering,160,0.725
kernel k-means,160,0.54
kernel k-groups,160,0.665
k-means,170,0.505
gmm,170,0.69
spectral clustering,170,0.555
kernel k-means,170,0.52
kernel k-groups,170,0.545
k-means,180,0.51
gmm,180,0.545
spectral clustering,180,0.62
kernel k-means,180,0.505
kernel k-groups,180,0.63
k-means,190,0.685
gmm,190,0.575
spectral clustering,190,0.67
kernel k-means,190,0.525
kernel k-groups,190,0.67
k-means,200,0.52
gmm,200,0.56
spectral clustering,200,0.75
kernel k-means,200,0.605
kernel k-groups,200,0.715
k-means,10,0.835
gmm,10,0.71
spectral clustering,10,0.785
kernel k-means,10,0.82
kernel k-groups,10,0.83
k-means,20,0.83
gmm,20,0.815
spectral clustering,20,0.815
kernel k-means,20,0.835
kernel k-groups,20,0.825
k-means,30,0.87
gmm,30,0.84
spectral clustering,30,0.855
kernel k-means,30,0.87
kernel k-groups,30,0.865
k-means,40,0.815
gmm,40,0.6
spectral clustering,40,0.8
kernel k-means,40,0.785
kernel k-groups,40,0.785
k-means,50,0.84
gmm,50,0.855
spectral clustering,50,0.83
kernel k-means,50,0.81
kernel k-groups,50,0.835
k-means,60,0.78
gmm,60,0.77
spectral clustering,60,0.79
kernel k-means,60,0.75
kernel k-groups,60,0.805
k-means,70,0.675
gmm,70,0.715
spectral clustering,70,0.69
kernel k-means,70,0.525
kernel k-groups,70,0.795
k-means,80,0.615
gmm,80,0.605
spectral clustering,80,0.61
kernel k-means,80,0.63
kernel k-groups,80,0.595
k-means,90,0.73
gmm,90,0.645
spectral clustering,90,0.7
kernel k-means,90,0.585
kernel k-groups,90,0.71
k-means,100,0.55
gmm,100,0.625
spectral clustering,100,0.635
kernel k-means,100,0.575
kernel k-groups,100,0.66
k-means,110,0.58
gmm,110,0.56
spectral clustering,110,0.635
kernel k-means,110,0.535
kernel k-groups,110,0.655
k-means,120,0.55
gmm,120,0.55
spectral clustering,120,0.62
kernel k-means,120,0.5
kernel k-groups,120,0.73
k-means,130,0.64
gmm,130,0.64
spectral clustering,130,0.665
kernel k-means,130,0.535
kernel k-groups,130,0.655
k-means,140,0.535
gmm,140,0.505
spectral clustering,140,0.665
kernel k-means,140,0.52
kernel k-groups,140,0.685
k-means,150,0.615
gmm,150,0.555
spectral clustering,150,0.665
kernel k-means,150,0.555
kernel k-groups,150,0.585
k-means,160,0.555
gmm,160,0.51
spectral clustering,160,0.58
kernel k-means,160,0.54
kernel k-groups,160,0.625
k-means,170,0.54
gmm,170,0.63
spectral clustering,170,0.68
kernel k-means,170,0.545
kernel k-groups,170,0.64
k-means,180,0.645
gmm,180,0.615
spectral clustering,180,0.64
kernel k-means,180,0.565
kernel k-groups,180,0.595
k-means,190,0.545
gmm,190,0.59
spectral clustering,190,0.675
kernel k-means,190,0.525
kernel k-groups,190,0.655
k-means,200,0.59
gmm,200,0.7
spectral clustering,200,0.75
kernel k-means,200,0.535
kernel k-groups,200,0.645
k-means,10,0.88
gmm,10,0.74
spectral clustering,10,0.855
kernel k-means,10,0.875
kernel k-groups,10,0.87
k-means,20,0.81
gmm,20,0.77
spectral clustering,20,0.815
kernel k-means,20,0.835
kernel k-groups,20,0.83
k-means,30,0.77
gmm,30,0.785
spectral clustering,30,0.795
kernel k-means,30,0.735
kernel k-groups,30,0.805
k-means,40,0.8
gmm,40,0.815
spectral clustering,40,0.845
kernel k-means,40,0.81
kernel k-groups,40,0.81
k-means,50,0.785
gmm,50,0.555
spectral clustering,50,0.845
kernel k-means,50,0.79
kernel k-groups,50,0.85
k-means,60,0.835
gmm,60,0.715
spectral clustering,60,0.825
kernel k-means,60,0.835
kernel k-groups,60,0.84
k-means,70,0.815
gmm,70,0.825
spectral clustering,70,0.84
kernel k-means,70,0.73
kernel k-groups,70,0.83
k-means,80,0.775
gmm,80,0.61
spectral clustering,80,0.78
kernel k-means,80,0.7
kernel k-groups,80,0.805
k-means,90,0.79
gmm,90,0.635
spectral clustering,90,0.79
kernel k-means,90,0.64
kernel k-groups,90,0.82
k-means,100,0.76
gmm,100,0.525
spectral clustering,100,0.825
kernel k-means,100,0.67
kernel k-groups,100,0.83
k-means,110,0.575
gmm,110,0.535
spectral clustering,110,0.665
kernel k-means,110,0.515
kernel k-groups,110,0.66
k-means,120,0.58
gmm,120,0.69
spectral clustering,120,0.775
kernel k-means,120,0.515
kernel k-groups,120,0.785
k-means,130,0.505
gmm,130,0.735
spectral clustering,130,0.83
kernel k-means,130,0.525
kernel k-groups,130,0.81
k-means,140,0.69
gmm,140,0.805
spectral clustering,140,0.805
kernel k-means,140,0.62
kernel k-groups,140,0.78
k-means,150,0.525
gmm,150,0.605
spectral clustering,150,0.69
kernel k-means,150,0.58
kernel k-groups,150,0.67
k-means,160,0.65
gmm,160,0.66
spectral clustering,160,0.77
kernel k-means,160,0.575
kernel k-groups,160,0.81
k-means,170,0.655
gmm,170,0.67
spectral clustering,170,0.735
kernel k-means,170,0.575
kernel k-groups,170,0.75
k-means,180,0.64
gmm,180,0.53
spectral clustering,180,0.695
kernel k-means,180,0.575
kernel k-groups,180,0.74
k-means,190,0.615
gmm,190,0.52
spectral clustering,190,0.755
kernel k-means,190,0.515
kernel k-groups,190,0.665
k-means,200,0.58
gmm,200,0.55
spectral clustering,200,0.675
kernel k-means,200,0.535
kernel k-groups,200,0.53
k-means,10,0.855
gmm,10,0.62
spectral clustering,10,0.855
kernel k-means,10,0.86
kernel k-groups,10,0.875
k-means,20,0.85
gmm,20,0.83
spectral clustering,20,0.815
kernel k-means,20,0.835
kernel k-groups,20,0.86
k-means,30,0.865
gmm,30,0.865
spectral clustering,30,0.865
kernel k-means,30,0.835
kernel k-groups,30,0.875
k-means,40,0.835
gmm,40,0.53
spectral clustering,40,0.82
kernel k-means,40,0.83
kernel k-groups,40,0.84
k-means,50,0.685
gmm,50,0.56
spectral clustering,50,0.78
kernel k-means,50,0.69
kernel k-groups,50,0.755
k-means,60,0.685
gmm,60,0.51
spectral clustering,60,0.815
kernel k-means,60,0.69
kernel k-groups,60,0.785
k-means,70,0.81
gmm,70,0.565
spectral clustering,70,0.825
kernel k-means,70,0.52
kernel k-groups,70,0.855
k-means,80,0.735
gmm,80,0.53
spectral clustering,80,0.815
kernel k-means,80,0.79
kernel k-groups,80,0.825
k-means,90,0.77
gmm,90,0.565
spectral clustering,90,0.735
kernel k-means,90,0.685
kernel k-groups,90,0.8
k-means,100,0.635
gmm,100,0.585
spectral clustering,100,0.785
kernel k-means,100,0.65
kernel k-groups,100,0.77
k-means,110,0.635
gmm,110,0.62
spectral clustering,110,0.68
kernel k-means,110,0.555
kernel k-groups,110,0.755
k-means,120,0.77
gmm,120,0.565
spectral clustering,120,0.805
kernel k-means,120,0.745
kernel k-groups,120,0.805
k-means,130,0.525
gmm,130,0.54
spectral clustering,130,0.74
kernel k-means,130,0.57
kernel k-groups,130,0.685
k-means,140,0.565
gmm,140,0.64
spectral clustering,140,0.7
kernel k-means,140,0.525
kernel k-groups,140,0.585
k-means,150,0.685
gmm,150,0.695
spectral clustering,150,0.825
kernel k-means,150,0.565
kernel k-groups,150,0.845
k-means,160,0.665
gmm,160,0.55
spectral clustering,160,0.79
kernel k-means,160,0.53
kernel k-groups,160,0.755
k-means,170,0.505
gmm,170,0.56
spectral clustering,170,0.635
kernel k-means,170,0.55
kernel k-groups,170,0.535
k-means,180,0.505
gmm,180,0.655
spectral clustering,180,0.645
kernel k-means,180,0.505
kernel k-groups,180,0.695
k-means,190,0.535
gmm,190,0.555
spectral clustering,190,0.705
kernel k-means,190,0.545
kernel k-groups,190,0.71
k-means,200,0.705
gmm,200,0.605
spectral clustering,200,0.68
kernel k-means,200,0.6
kernel k-groups,200,0.66
k-means,10,0.84
gmm,10,0.74
spectral clustering,10,0.815
kernel k-means,10,0.825
kernel k-groups,10,0.82
k-means,20,0.84
gmm,20,0.545
spectral clustering,20,0.84
kernel k-means,20,0.84
kernel k-groups,20,0.83
k-means,30,0.775
gmm,30,0.76
spectral clustering,30,0.8
kernel k-means,30,0.745
kernel k-groups,30,0.805
k-means,40,0.835
gmm,40,0.85
spectral clustering,40,0.83
kernel k-means,40,0.805
kernel k-groups,40,0.87
k-means,50,0.835
gmm,50,0.795
spectral clustering,50,0.855
kernel k-means,50,0.855
kernel k-groups,50,0.855
k-means,60,0.84
gmm,60,0.705
spectral clustering,60,0.84
kernel k-means,60,0.67
kernel k-groups,60,0.83
k-means,70,0.69
gmm,70,0.635
spectral clustering,70,0.81
kernel k-means,70,0.595
kernel k-groups,70,0.77
k-means,80,0.745
gmm,80,0.515
spectral clustering,80,0.75
kernel k-means,80,0.735
kernel k-groups,80,0.795
k-means,90,0.755
gmm,90,0.575
spectral clustering,90,0.81
kernel k-means,90,0.55
kernel k-groups,90,0.81
k-means,100,0.745
gmm,100,0.57
spectral clustering,100,0.79
kernel k-means,100,0.625
kernel k-groups,100,0.83
k-means,110,0.635
gmm,110,0.52
spectral clustering,110,0.775
kernel k-means,110,0.58
kernel k-groups,110,0.725
k-means,120,0.75
gmm,120,0.53
spectral clustering,120,0.745
kernel k-means,120,0.635
kernel k-groups,120,0.775
k-means,130,0.615
gmm,130,0.675
spectral clustering,130,0.725
kernel k-means,130,0.67
kernel k-groups,130,0.75
k-means,140,0.705
gmm,140,0.54
spectral clustering,140,0.72
kernel k-means,140,0.6
kernel k-groups,140,0.74
k-means,150,0.565
gmm,150,0.515
spectral clustering,150,0.62
kernel k-means,150,0.54
kernel k-groups,150,0.555
k-means,160,0.675
gmm,160,0.63
spectral clustering,160,0.69
kernel k-means,160,0.53
kernel k-groups,160,0.56
k-means,170,0.585
gmm,170,0.54
spectral clustering,170,0.73
kernel k-means,170,0.535
kernel k-groups,170,0.665
k-means,180,0.66
gmm,180,0.655
spectral clustering,180,0.75
kernel k-means,180,0.525
kernel k-groups,180,0.755
k-means,190,0.585
gmm,190,0.625
spectral clustering,190,0.625
kernel k-means,190,0.62
kernel k-groups,190,0.535
k-means,200,0.51
gmm,200,0.55
spectral clustering,200,0.51
kernel k-means,200,0.54
kernel k-groups,200,0.515
