method,points,accuracy
spectral clustering $\widetilde{\rho}_1$,270,0.814814814815
kernel k-groups $\rho_{1}$,270,0.77037037037
kernel k-groups $\rho_{1/2}$,270,0.774074074074
kernel k-groups $\widetilde{\rho}_{1}$,270,0.844444444444
k-means,280,0.735714285714
gmm,280,0.742857142857
spectral clustering $\widetilde{\rho}_1$,280,0.832142857143
kernel k-groups $\rho_{1}$,280,0.764285714286
kernel k-groups $\rho_{1/2}$,280,0.789285714286
kernel k-groups $\widetilde{\rho}_{1}$,280,0.885714285714
k-means,290,0.624137931034
gmm,290,0.675862068966
spectral clustering $\widetilde{\rho}_1$,290,0.803448275862
kernel k-groups $\rho_{1}$,290,0.765517241379
kernel k-groups $\rho_{1/2}$,290,0.827586206897
kernel k-groups $\widetilde{\rho}_{1}$,290,0.886206896552
k-means,300,0.786666666667
gmm,300,0.786666666667
spectral clustering $\widetilde{\rho}_1$,300,0.833333333333
kernel k-groups $\rho_{1}$,300,0.816666666667
kernel k-groups $\rho_{1/2}$,300,0.83
kernel k-groups $\widetilde{\rho}_{1}$,300,0.86
k-means,310,0.696774193548
gmm,310,0.758064516129
spectral clustering $\widetilde{\rho}_1$,310,0.874193548387
kernel k-groups $\rho_{1}$,310,0.777419354839
kernel k-groups $\rho_{1/2}$,310,0.825806451613
kernel k-groups $\widetilde{\rho}_{1}$,310,0.9
k-means,320,0.75
gmm,320,0.821875
spectral clustering $\widetilde{\rho}_1$,320,0.85
kernel k-groups $\rho_{1}$,320,0.809375
kernel k-groups $\rho_{1/2}$,320,0.859375
kernel k-groups $\widetilde{\rho}_{1}$,320,0.90625
k-means,330,0.757575757576
gmm,330,0.787878787879
spectral clustering $\widetilde{\rho}_1$,330,0.875757575758
kernel k-groups $\rho_{1}$,330,0.8
kernel k-groups $\rho_{1/2}$,330,0.827272727273
kernel k-groups $\widetilde{\rho}_{1}$,330,0.915151515152
k-means,340,0.702941176471
gmm,340,0.664705882353
spectral clustering $\widetilde{\rho}_1$,340,0.720588235294
kernel k-groups $\rho_{1}$,340,0.732352941176
kernel k-groups $\rho_{1/2}$,340,0.755882352941
kernel k-groups $\widetilde{\rho}_{1}$,340,0.855882352941
k-means,350,0.711428571429
gmm,350,0.754285714286
spectral clustering $\widetilde{\rho}_1$,350,0.905714285714
kernel k-groups $\rho_{1}$,350,0.811428571429
kernel k-groups $\rho_{1/2}$,350,0.845714285714
kernel k-groups $\widetilde{\rho}_{1}$,350,0.911428571429
k-means,360,0.772222222222
gmm,360,0.797222222222
spectral clustering $\widetilde{\rho}_1$,360,0.869444444444
kernel k-groups $\rho_{1}$,360,0.813888888889
kernel k-groups $\rho_{1/2}$,360,0.844444444444
kernel k-groups $\widetilde{\rho}_{1}$,360,0.877777777778
k-means,370,0.678378378378
gmm,370,0.772972972973
spectral clustering $\widetilde{\rho}_1$,370,0.862162162162
kernel k-groups $\rho_{1}$,370,0.808108108108
kernel k-groups $\rho_{1/2}$,370,0.856756756757
kernel k-groups $\widetilde{\rho}_{1}$,370,0.883783783784
k-means,380,0.710526315789
gmm,380,0.776315789474
spectral clustering $\widetilde{\rho}_1$,380,0.871052631579
kernel k-groups $\rho_{1}$,380,0.768421052632
kernel k-groups $\rho_{1/2}$,380,0.805263157895
kernel k-groups $\widetilde{\rho}_{1}$,380,0.926315789474
k-means,390,0.651282051282
gmm,390,0.7
spectral clustering $\widetilde{\rho}_1$,390,0.85641025641
kernel k-groups $\rho_{1}$,390,0.769230769231
kernel k-groups $\rho_{1/2}$,390,0.812820512821
kernel k-groups $\widetilde{\rho}_{1}$,390,0.874358974359
k-means,400,0.7525
gmm,400,0.6925
spectral clustering $\widetilde{\rho}_1$,400,0.885
kernel k-groups $\rho_{1}$,400,0.8125
kernel k-groups $\rho_{1/2}$,400,0.8525
kernel k-groups $\widetilde{\rho}_{1}$,400,0.8975
k-means,10,0.7
gmm,10,0.7
spectral clustering $\widetilde{\rho}_1$,10,0.8
kernel k-groups $\rho_{1}$,10,0.7
kernel k-groups $\rho_{1/2}$,10,0.7
kernel k-groups $\widetilde{\rho}_{1}$,10,0.7
k-means,20,0.75
gmm,20,0.95
spectral clustering $\widetilde{\rho}_1$,20,1.0
kernel k-groups $\rho_{1}$,20,0.85
kernel k-groups $\rho_{1/2}$,20,0.85
kernel k-groups $\widetilde{\rho}_{1}$,20,0.9
k-means,30,0.566666666667
gmm,30,0.666666666667
spectral clustering $\widetilde{\rho}_1$,30,0.533333333333
kernel k-groups $\rho_{1}$,30,0.6
kernel k-groups $\rho_{1/2}$,30,0.7
kernel k-groups $\widetilde{\rho}_{1}$,30,0.6
k-means,40,0.625
gmm,40,0.55
spectral clustering $\widetilde{\rho}_1$,40,0.725
kernel k-groups $\rho_{1}$,40,0.625
kernel k-groups $\rho_{1/2}$,40,0.625
kernel k-groups $\widetilde{\rho}_{1}$,40,0.9
k-means,50,0.74
gmm,50,0.74
spectral clustering $\widetilde{\rho}_1$,50,0.68
kernel k-groups $\rho_{1}$,50,0.72
kernel k-groups $\rho_{1/2}$,50,0.76
kernel k-groups $\widetilde{\rho}_{1}$,50,0.82
k-means,60,0.583333333333
gmm,60,0.533333333333
spectral clustering $\widetilde{\rho}_1$,60,0.683333333333
kernel k-groups $\rho_{1}$,60,0.6
kernel k-groups $\rho_{1/2}$,60,0.583333333333
kernel k-groups $\widetilde{\rho}_{1}$,60,0.833333333333
k-means,70,0.657142857143
gmm,70,0.528571428571
spectral clustering $\widetilde{\rho}_1$,70,0.8
kernel k-groups $\rho_{1}$,70,0.685714285714
kernel k-groups $\rho_{1/2}$,70,0.757142857143
kernel k-groups $\widetilde{\rho}_{1}$,70,0.8
k-means,80,0.7125
gmm,80,0.5625
spectral clustering $\widetilde{\rho}_1$,80,0.8375
kernel k-groups $\rho_{1}$,80,0.8
kernel k-groups $\rho_{1/2}$,80,0.8125
kernel k-groups $\widetilde{\rho}_{1}$,80,0.9125
k-means,90,0.622222222222
gmm,90,0.6
spectral clustering $\widetilde{\rho}_1$,90,0.722222222222
kernel k-groups $\rho_{1}$,90,0.655555555556
kernel k-groups $\rho_{1/2}$,90,0.844444444444
kernel k-groups $\widetilde{\rho}_{1}$,90,0.933333333333
k-means,100,0.57
gmm,100,0.59
spectral clustering $\widetilde{\rho}_1$,100,0.71
kernel k-groups $\rho_{1}$,100,0.57
kernel k-groups $\rho_{1/2}$,100,0.56
kernel k-groups $\widetilde{\rho}_{1}$,100,0.83
k-means,110,0.718181818182
gmm,110,0.536363636364
spectral clustering $\widetilde{\rho}_1$,110,0.836363636364
kernel k-groups $\rho_{1}$,110,0.818181818182
kernel k-groups $\rho_{1/2}$,110,0.836363636364
kernel k-groups $\widetilde{\rho}_{1}$,110,0.854545454545
k-means,120,0.75
gmm,120,0.533333333333
spectral clustering $\widetilde{\rho}_1$,120,0.766666666667
kernel k-groups $\rho_{1}$,120,0.808333333333
kernel k-groups $\rho_{1/2}$,120,0.8
kernel k-groups $\widetilde{\rho}_{1}$,120,0.908333333333
k-means,130,0.530769230769
gmm,130,0.661538461538
spectral clustering $\widetilde{\rho}_1$,130,0.730769230769
kernel k-groups $\rho_{1}$,130,0.630769230769
kernel k-groups $\rho_{1/2}$,130,0.630769230769
kernel k-groups $\widetilde{\rho}_{1}$,130,0.776923076923
k-means,140,0.678571428571
gmm,140,0.657142857143
spectral clustering $\widetilde{\rho}_1$,140,0.892857142857
kernel k-groups $\rho_{1}$,140,0.735714285714
kernel k-groups $\rho_{1/2}$,140,0.821428571429
kernel k-groups $\widetilde{\rho}_{1}$,140,0.9
k-means,150,0.68
gmm,150,0.62
spectral clustering $\widetilde{\rho}_1$,150,0.733333333333
kernel k-groups $\rho_{1}$,150,0.68
kernel k-groups $\rho_{1/2}$,150,0.693333333333
kernel k-groups $\widetilde{\rho}_{1}$,150,0.746666666667
k-means,160,0.625
gmm,160,0.68125
spectral clustering $\widetilde{\rho}_1$,160,0.8125
kernel k-groups $\rho_{1}$,160,0.70625
kernel k-groups $\rho_{1/2}$,160,0.74375
kernel k-groups $\widetilde{\rho}_{1}$,160,0.825
k-means,170,0.658823529412
gmm,170,0.664705882353
spectral clustering $\widetilde{\rho}_1$,170,0.752941176471
kernel k-groups $\rho_{1}$,170,0.676470588235
kernel k-groups $\rho_{1/2}$,170,0.705882352941
kernel k-groups $\widetilde{\rho}_{1}$,170,0.823529411765
k-means,180,0.722222222222
gmm,180,0.5
spectral clustering $\widetilde{\rho}_1$,180,0.794444444444
kernel k-groups $\rho_{1}$,180,0.8
kernel k-groups $\rho_{1/2}$,180,0.844444444444
kernel k-groups $\widetilde{\rho}_{1}$,180,0.861111111111
k-means,190,0.631578947368
gmm,190,0.731578947368
spectral clustering $\widetilde{\rho}_1$,190,0.863157894737
kernel k-groups $\rho_{1}$,190,0.778947368421
kernel k-groups $\rho_{1/2}$,190,0.821052631579
kernel k-groups $\widetilde{\rho}_{1}$,190,0.9
k-means,200,0.675
gmm,200,0.675
spectral clustering $\widetilde{\rho}_1$,200,0.89
kernel k-groups $\rho_{1}$,200,0.75
kernel k-groups $\rho_{1/2}$,200,0.81
kernel k-groups $\widetilde{\rho}_{1}$,200,0.885
k-means,210,0.7
gmm,210,0.752380952381
spectral clustering $\widetilde{\rho}_1$,210,0.804761904762
kernel k-groups $\rho_{1}$,210,0.733333333333
kernel k-groups $\rho_{1/2}$,210,0.752380952381
kernel k-groups $\widetilde{\rho}_{1}$,210,0.890476190476
k-means,220,0.568181818182
gmm,220,0.609090909091
spectral clustering $\widetilde{\rho}_1$,220,0.813636363636
kernel k-groups $\rho_{1}$,220,0.695454545455
kernel k-groups $\rho_{1/2}$,220,0.781818181818
kernel k-groups $\widetilde{\rho}_{1}$,220,0.854545454545
k-means,230,0.626086956522
gmm,230,0.7
spectral clustering $\widetilde{\rho}_1$,230,0.821739130435
kernel k-groups $\rho_{1}$,230,0.773913043478
kernel k-groups $\rho_{1/2}$,230,0.782608695652
kernel k-groups $\widetilde{\rho}_{1}$,230,0.830434782609
k-means,240,0.7
gmm,240,0.7375
spectral clustering $\widetilde{\rho}_1$,240,0.766666666667
kernel k-groups $\rho_{1}$,240,0.754166666667
kernel k-groups $\rho_{1/2}$,240,0.783333333333
kernel k-groups $\widetilde{\rho}_{1}$,240,0.870833333333
k-means,250,0.684
gmm,250,0.604
spectral clustering $\widetilde{\rho}_1$,250,0.76
kernel k-groups $\rho_{1}$,250,0.68
kernel k-groups $\rho_{1/2}$,250,0.728
kernel k-groups $\widetilde{\rho}_{1}$,250,0.848
k-means,260,0.734615384615
gmm,260,0.769230769231
spectral clustering $\widetilde{\rho}_1$,260,0.880769230769
kernel k-groups $\rho_{1}$,260,0.769230769231
kernel k-groups $\rho_{1/2}$,260,0.846153846154
kernel k-groups $\widetilde{\rho}_{1}$,260,0.926923076923
k-means,270,0.696296296296
gmm,270,0.740740740741
spectral clustering $\widetilde{\rho}_1$,270,0.874074074074
kernel k-groups $\rho_{1}$,270,0.796296296296
kernel k-groups $\rho_{1/2}$,270,0.818518518519
kernel k-groups $\widetilde{\rho}_{1}$,270,0.885185185185
k-means,280,0.575
gmm,280,0.717857142857
spectral clustering $\widetilde{\rho}_1$,280,0.839285714286
kernel k-groups $\rho_{1}$,280,0.757142857143
kernel k-groups $\rho_{1/2}$,280,0.778571428571
kernel k-groups $\widetilde{\rho}_{1}$,280,0.875
k-means,290,0.620689655172
gmm,290,0.531034482759
spectral clustering $\widetilde{\rho}_1$,290,0.755172413793
kernel k-groups $\rho_{1}$,290,0.775862068966
kernel k-groups $\rho_{1/2}$,290,0.858620689655
kernel k-groups $\widetilde{\rho}_{1}$,290,0.903448275862
k-means,300,0.646666666667
gmm,300,0.67
spectral clustering $\widetilde{\rho}_1$,300,0.786666666667
kernel k-groups $\rho_{1}$,300,0.756666666667
kernel k-groups $\rho_{1/2}$,300,0.77
kernel k-groups $\widetilde{\rho}_{1}$,300,0.836666666667
k-means,310,0.738709677419
gmm,310,0.770967741935
spectral clustering $\widetilde{\rho}_1$,310,0.858064516129
kernel k-groups $\rho_{1}$,310,0.767741935484
kernel k-groups $\rho_{1/2}$,310,0.841935483871
kernel k-groups $\widetilde{\rho}_{1}$,310,0.9
k-means,320,0.771875
gmm,320,0.746875
spectral clustering $\widetilde{\rho}_1$,320,0.828125
kernel k-groups $\rho_{1}$,320,0.796875
kernel k-groups $\rho_{1/2}$,320,0.815625
kernel k-groups $\widetilde{\rho}_{1}$,320,0.85625
k-means,330,0.660606060606
gmm,330,0.742424242424
spectral clustering $\widetilde{\rho}_1$,330,0.812121212121
kernel k-groups $\rho_{1}$,330,0.757575757576
kernel k-groups $\rho_{1/2}$,330,0.781818181818
kernel k-groups $\widetilde{\rho}_{1}$,330,0.881818181818
k-means,340,0.723529411765
gmm,340,0.561764705882
spectral clustering $\widetilde{\rho}_1$,340,0.873529411765
kernel k-groups $\rho_{1}$,340,0.764705882353
kernel k-groups $\rho_{1/2}$,340,0.814705882353
kernel k-groups $\widetilde{\rho}_{1}$,340,0.876470588235
k-means,350,0.7
gmm,350,0.757142857143
spectral clustering $\widetilde{\rho}_1$,350,0.857142857143
kernel k-groups $\rho_{1}$,350,0.754285714286
kernel k-groups $\rho_{1/2}$,350,0.771428571429
kernel k-groups $\widetilde{\rho}_{1}$,350,0.905714285714
k-means,360,0.725
gmm,360,0.761111111111
spectral clustering $\widetilde{\rho}_1$,360,0.830555555556
kernel k-groups $\rho_{1}$,360,0.769444444444
kernel k-groups $\rho_{1/2}$,360,0.811111111111
kernel k-groups $\widetilde{\rho}_{1}$,360,0.911111111111
k-means,370,0.721621621622
gmm,370,0.759459459459
spectral clustering $\widetilde{\rho}_1$,370,0.894594594595
kernel k-groups $\rho_{1}$,370,0.772972972973
kernel k-groups $\rho_{1/2}$,370,0.862162162162
kernel k-groups $\widetilde{\rho}_{1}$,370,0.910810810811
k-means,380,0.707894736842
gmm,380,0.784210526316
spectral clustering $\widetilde{\rho}_1$,380,0.792105263158
kernel k-groups $\rho_{1}$,380,0.755263157895
kernel k-groups $\rho_{1/2}$,380,0.760526315789
kernel k-groups $\widetilde{\rho}_{1}$,380,0.871052631579
k-means,390,0.746153846154
gmm,390,0.769230769231
spectral clustering $\widetilde{\rho}_1$,390,0.864102564103
kernel k-groups $\rho_{1}$,390,0.833333333333
kernel k-groups $\rho_{1/2}$,390,0.846153846154
kernel k-groups $\widetilde{\rho}_{1}$,390,0.887179487179
k-means,400,0.7
gmm,400,0.7425
spectral clustering $\widetilde{\rho}_1$,400,0.8225
kernel k-groups $\rho_{1}$,400,0.75
kernel k-groups $\rho_{1/2}$,400,0.8
kernel k-groups $\widetilde{\rho}_{1}$,400,0.86
k-means,10,0.8
gmm,10,0.7
spectral clustering $\widetilde{\rho}_1$,10,0.5
kernel k-groups $\rho_{1}$,10,0.7
kernel k-groups $\rho_{1/2}$,10,0.7
kernel k-groups $\widetilde{\rho}_{1}$,10,0.7
k-means,20,0.55
gmm,20,0.5
spectral clustering $\widetilde{\rho}_1$,20,0.55
kernel k-groups $\rho_{1}$,20,0.5
kernel k-groups $\rho_{1/2}$,20,0.5
kernel k-groups $\widetilde{\rho}_{1}$,20,0.55
k-means,30,0.666666666667
gmm,30,0.633333333333
spectral clustering $\widetilde{\rho}_1$,30,0.766666666667
kernel k-groups $\rho_{1}$,30,0.666666666667
kernel k-groups $\rho_{1/2}$,30,0.7
kernel k-groups $\widetilde{\rho}_{1}$,30,0.9
k-means,40,0.5
gmm,40,0.575
spectral clustering $\widetilde{\rho}_1$,40,0.675
kernel k-groups $\rho_{1}$,40,0.75
kernel k-groups $\rho_{1/2}$,40,0.75
kernel k-groups $\widetilde{\rho}_{1}$,40,0.75
k-means,50,0.7
gmm,50,0.62
spectral clustering $\widetilde{\rho}_1$,50,0.66
kernel k-groups $\rho_{1}$,50,0.7
kernel k-groups $\rho_{1/2}$,50,0.7
kernel k-groups $\widetilde{\rho}_{1}$,50,0.72
k-means,60,0.533333333333
gmm,60,0.55
spectral clustering $\widetilde{\rho}_1$,60,0.733333333333
kernel k-groups $\rho_{1}$,60,0.55
kernel k-groups $\rho_{1/2}$,60,0.716666666667
kernel k-groups $\widetilde{\rho}_{1}$,60,0.866666666667
k-means,70,0.671428571429
gmm,70,0.6
spectral clustering $\widetilde{\rho}_1$,70,0.742857142857
kernel k-groups $\rho_{1}$,70,0.757142857143
kernel k-groups $\rho_{1/2}$,70,0.771428571429
kernel k-groups $\widetilde{\rho}_{1}$,70,0.8
k-means,80,0.6875
gmm,80,0.775
spectral clustering $\widetilde{\rho}_1$,80,0.7375
kernel k-groups $\rho_{1}$,80,0.7375
kernel k-groups $\rho_{1/2}$,80,0.8125
kernel k-groups $\widetilde{\rho}_{1}$,80,0.8875
k-means,90,0.577777777778
gmm,90,0.588888888889
spectral clustering $\widetilde{\rho}_1$,90,0.755555555556
kernel k-groups $\rho_{1}$,90,0.577777777778
kernel k-groups $\rho_{1/2}$,90,0.622222222222
kernel k-groups $\widetilde{\rho}_{1}$,90,0.722222222222
k-means,100,0.68
gmm,100,0.55
spectral clustering $\widetilde{\rho}_1$,100,0.74
kernel k-groups $\rho_{1}$,100,0.68
kernel k-groups $\rho_{1/2}$,100,0.72
kernel k-groups $\widetilde{\rho}_{1}$,100,0.89
k-means,110,0.645454545455
gmm,110,0.509090909091
spectral clustering $\widetilde{\rho}_1$,110,0.663636363636
kernel k-groups $\rho_{1}$,110,0.654545454545
kernel k-groups $\rho_{1/2}$,110,0.736363636364
kernel k-groups $\widetilde{\rho}_{1}$,110,0.863636363636
k-means,120,0.641666666667
gmm,120,0.691666666667
spectral clustering $\widetilde{\rho}_1$,120,0.708333333333
kernel k-groups $\rho_{1}$,120,0.675
kernel k-groups $\rho_{1/2}$,120,0.7
kernel k-groups $\widetilde{\rho}_{1}$,120,0.775
k-means,130,0.646153846154
gmm,130,0.738461538462
spectral clustering $\widetilde{\rho}_1$,130,0.784615384615
kernel k-groups $\rho_{1}$,130,0.638461538462
kernel k-groups $\rho_{1/2}$,130,0.807692307692
kernel k-groups $\widetilde{\rho}_{1}$,130,0.853846153846
k-means,140,0.7
gmm,140,0.678571428571
spectral clustering $\widetilde{\rho}_1$,140,0.864285714286
kernel k-groups $\rho_{1}$,140,0.692857142857
kernel k-groups $\rho_{1/2}$,140,0.742857142857
kernel k-groups $\widetilde{\rho}_{1}$,140,0.871428571429
k-means,150,0.746666666667
gmm,150,0.666666666667
spectral clustering $\widetilde{\rho}_1$,150,0.826666666667
kernel k-groups $\rho_{1}$,150,0.76
kernel k-groups $\rho_{1/2}$,150,0.806666666667
kernel k-groups $\widetilde{\rho}_{1}$,150,0.926666666667
k-means,160,0.65
gmm,160,0.65625
spectral clustering $\widetilde{\rho}_1$,160,0.63125
kernel k-groups $\rho_{1}$,160,0.73125
kernel k-groups $\rho_{1/2}$,160,0.79375
kernel k-groups $\widetilde{\rho}_{1}$,160,0.84375
k-means,170,0.7
gmm,170,0.782352941176
spectral clustering $\widetilde{\rho}_1$,170,0.835294117647
kernel k-groups $\rho_{1}$,170,0.776470588235
kernel k-groups $\rho_{1/2}$,170,0.8
kernel k-groups $\widetilde{\rho}_{1}$,170,0.905882352941
k-means,180,0.644444444444
gmm,180,0.711111111111
spectral clustering $\widetilde{\rho}_1$,180,0.872222222222
kernel k-groups $\rho_{1}$,180,0.833333333333
kernel k-groups $\rho_{1/2}$,180,0.855555555556
kernel k-groups $\widetilde{\rho}_{1}$,180,0.905555555556
k-means,190,0.621052631579
gmm,190,0.605263157895
spectral clustering $\widetilde{\rho}_1$,190,0.794736842105
kernel k-groups $\rho_{1}$,190,0.615789473684
kernel k-groups $\rho_{1/2}$,190,0.689473684211
kernel k-groups $\widetilde{\rho}_{1}$,190,0.847368421053
k-means,200,0.65
gmm,200,0.66
spectral clustering $\widetilde{\rho}_1$,200,0.9
kernel k-groups $\rho_{1}$,200,0.825
kernel k-groups $\rho_{1/2}$,200,0.885
kernel k-groups $\widetilde{\rho}_{1}$,200,0.955
k-means,210,0.671428571429
gmm,210,0.72380952381
spectral clustering $\widetilde{\rho}_1$,210,0.838095238095
kernel k-groups $\rho_{1}$,210,0.742857142857
kernel k-groups $\rho_{1/2}$,210,0.747619047619
kernel k-groups $\widetilde{\rho}_{1}$,210,0.890476190476
k-means,220,0.613636363636
gmm,220,0.604545454545
spectral clustering $\widetilde{\rho}_1$,220,0.831818181818
kernel k-groups $\rho_{1}$,220,0.663636363636
kernel k-groups $\rho_{1/2}$,220,0.863636363636
kernel k-groups $\widetilde{\rho}_{1}$,220,0.927272727273
k-means,230,0.691304347826
gmm,230,0.630434782609
spectral clustering $\widetilde{\rho}_1$,230,0.847826086957
kernel k-groups $\rho_{1}$,230,0.74347826087
