method,num_points,accuracy
gmm,390,0.558974358974
kernel k-groups,390,0.794871794872
k-means,410,0.524390243902
gmm,410,0.531707317073
kernel k-groups,410,0.839024390244
k-means,430,0.555813953488
gmm,430,0.560465116279
kernel k-groups,430,0.811627906977
k-means,450,0.522222222222
gmm,450,0.522222222222
kernel k-groups,450,0.833333333333
k-means,470,0.787234042553
gmm,470,0.510638297872
kernel k-groups,470,0.846808510638
k-means,490,0.50612244898
gmm,490,0.50612244898
kernel k-groups,490,0.810204081633
k-means,510,0.519607843137
gmm,510,0.505882352941
kernel k-groups,510,0.866666666667
k-means,530,0.556603773585
gmm,530,0.562264150943
kernel k-groups,530,0.824528301887
k-means,550,0.509090909091
gmm,550,0.507272727273
kernel k-groups,550,0.812727272727
k-means,570,0.517543859649
gmm,570,0.519298245614
kernel k-groups,570,0.836842105263
k-means,590,0.51186440678
gmm,590,0.510169491525
kernel k-groups,590,0.51186440678
k-means,610,0.537704918033
gmm,610,0.537704918033
kernel k-groups,610,0.850819672131
k-means,630,0.533333333333
gmm,630,0.552380952381
kernel k-groups,630,0.549206349206
k-means,650,0.510769230769
gmm,650,0.513846153846
kernel k-groups,650,0.84
k-means,670,0.517910447761
gmm,670,0.529850746269
kernel k-groups,670,0.835820895522
k-means,690,0.531884057971
gmm,690,0.533333333333
kernel k-groups,690,0.859420289855
k-means,710,0.525352112676
gmm,710,0.501408450704
kernel k-groups,710,0.505633802817
k-means,730,0.52602739726
gmm,730,0.531506849315
kernel k-groups,730,0.834246575342
k-means,750,0.505333333333
gmm,750,0.505333333333
kernel k-groups,750,0.830666666667
k-means,770,0.537662337662
gmm,770,0.545454545455
kernel k-groups,770,0.807792207792
k-means,790,0.544303797468
gmm,790,0.544303797468
kernel k-groups,790,0.849367088608
k-means,10,0.8
gmm,10,0.8
kernel k-groups,10,0.8
k-means,30,0.566666666667
gmm,30,0.566666666667
kernel k-groups,30,0.866666666667
k-means,50,0.5
gmm,50,0.5
kernel k-groups,50,0.64
k-means,70,0.528571428571
gmm,70,0.528571428571
kernel k-groups,70,0.857142857143
k-means,90,0.911111111111
gmm,90,0.911111111111
kernel k-groups,90,0.933333333333
k-means,110,0.790909090909
gmm,110,0.754545454545
kernel k-groups,110,0.809090909091
k-means,130,0.584615384615
gmm,130,0.584615384615
kernel k-groups,130,0.584615384615
k-means,150,0.586666666667
gmm,150,0.606666666667
kernel k-groups,150,0.706666666667
k-means,170,0.5
gmm,170,0.5
kernel k-groups,170,0.517647058824
k-means,190,0.521052631579
gmm,190,0.521052631579
kernel k-groups,190,0.857894736842
k-means,210,0.519047619048
gmm,210,0.52380952381
kernel k-groups,210,0.814285714286
k-means,230,0.547826086957
gmm,230,0.552173913043
kernel k-groups,230,0.873913043478
k-means,250,0.56
gmm,250,0.56
kernel k-groups,250,0.876
k-means,270,0.511111111111
gmm,270,0.525925925926
kernel k-groups,270,0.822222222222
k-means,290,0.506896551724
gmm,290,0.5
kernel k-groups,290,0.862068965517
k-means,310,0.538709677419
gmm,310,0.545161290323
kernel k-groups,310,0.838709677419
k-means,330,0.506060606061
gmm,330,0.506060606061
kernel k-groups,330,0.857575757576
k-means,350,0.811428571429
gmm,350,0.531428571429
kernel k-groups,350,0.88
k-means,370,0.513513513514
gmm,370,0.502702702703
kernel k-groups,370,0.851351351351
k-means,390,0.561538461538
gmm,390,0.510256410256
kernel k-groups,390,0.853846153846
k-means,410,0.539024390244
gmm,410,0.551219512195
kernel k-groups,410,0.858536585366
k-means,430,0.502325581395
gmm,430,0.5
kernel k-groups,430,0.83023255814
k-means,450,0.506666666667
gmm,450,0.528888888889
kernel k-groups,450,0.844444444444
k-means,470,0.525531914894
gmm,470,0.546808510638
kernel k-groups,470,0.855319148936
k-means,490,0.530612244898
gmm,490,0.514285714286
kernel k-groups,490,0.520408163265
k-means,510,0.507843137255
gmm,510,0.519607843137
