method,num_points,accuracy
kernel k-groups,450,0.824444444444
k-means,470,0.746808510638
gmm,470,0.751063829787
kernel k-groups,470,0.759574468085
k-means,490,0.748979591837
gmm,490,0.875510204082
kernel k-groups,490,0.771428571429
k-means,510,0.756862745098
gmm,510,0.841176470588
kernel k-groups,510,0.780392156863
k-means,530,0.779245283019
gmm,530,0.884905660377
kernel k-groups,530,0.82641509434
k-means,550,0.792727272727
gmm,550,0.88
kernel k-groups,550,0.798181818182
k-means,570,0.742105263158
gmm,570,0.740350877193
kernel k-groups,570,0.787719298246
k-means,590,0.798305084746
gmm,590,0.874576271186
kernel k-groups,590,0.813559322034
k-means,610,0.759016393443
gmm,610,0.85737704918
kernel k-groups,610,0.785245901639
k-means,630,0.768253968254
gmm,630,0.884126984127
kernel k-groups,630,0.820634920635
k-means,650,0.790769230769
gmm,650,0.88
kernel k-groups,650,0.796923076923
k-means,670,0.794029850746
gmm,670,0.883582089552
kernel k-groups,670,0.807462686567
k-means,690,0.757971014493
gmm,690,0.888405797101
kernel k-groups,690,0.782608695652
k-means,710,0.794366197183
gmm,710,0.891549295775
kernel k-groups,710,0.812676056338
k-means,730,0.804109589041
gmm,730,0.893150684932
kernel k-groups,730,0.83698630137
k-means,750,0.781333333333
gmm,750,0.885333333333
kernel k-groups,750,0.82
k-means,770,0.768831168831
gmm,770,0.876623376623
kernel k-groups,770,0.794805194805
k-means,790,0.774683544304
gmm,790,0.889873417722
kernel k-groups,790,0.824050632911
k-means,10,0.9
gmm,10,0.9
kernel k-groups,10,0.9
k-means,30,0.8
gmm,30,0.833333333333
kernel k-groups,30,0.8
k-means,50,0.88
gmm,50,0.94
kernel k-groups,50,0.92
k-means,70,0.771428571429
gmm,70,0.871428571429
kernel k-groups,70,0.914285714286
k-means,90,0.822222222222
gmm,90,0.822222222222
kernel k-groups,90,0.833333333333
k-means,110,0.745454545455
gmm,110,0.690909090909
kernel k-groups,110,0.745454545455
k-means,130,0.676923076923
gmm,130,0.730769230769
kernel k-groups,130,0.730769230769
k-means,150,0.786666666667
gmm,150,0.873333333333
kernel k-groups,150,0.873333333333
k-means,170,0.841176470588
gmm,170,0.847058823529
kernel k-groups,170,0.847058823529
k-means,190,0.736842105263
gmm,190,0.763157894737
kernel k-groups,190,0.763157894737
k-means,210,0.809523809524
gmm,210,0.82380952381
kernel k-groups,210,0.833333333333
k-means,230,0.747826086957
gmm,230,0.882608695652
kernel k-groups,230,0.839130434783
k-means,250,0.764
gmm,250,0.876
kernel k-groups,250,0.788
k-means,270,0.781481481481
gmm,270,0.911111111111
kernel k-groups,270,0.82962962963
k-means,290,0.806896551724
gmm,290,0.9
kernel k-groups,290,0.837931034483
k-means,310,0.764516129032
gmm,310,0.861290322581
kernel k-groups,310,0.8
k-means,330,0.754545454545
gmm,330,0.872727272727
kernel k-groups,330,0.790909090909
k-means,350,0.774285714286
gmm,350,0.865714285714
kernel k-groups,350,0.788571428571
k-means,370,0.818918918919
gmm,370,0.897297297297
kernel k-groups,370,0.832432432432
k-means,390,0.807692307692
gmm,390,0.830769230769
kernel k-groups,390,0.833333333333
k-means,410,0.782926829268
gmm,410,0.89756097561
kernel k-groups,410,0.836585365854
k-means,430,0.786046511628
gmm,430,0.867441860465
kernel k-groups,430,0.813953488372
k-means,450,0.784444444444
gmm,450,0.884444444444
kernel k-groups,450,0.802222222222
k-means,470,0.78085106383
gmm,470,0.878723404255
kernel k-groups,470,0.812765957447
k-means,490,0.765306122449
gmm,490,0.887755102041
kernel k-groups,490,0.810204081633
k-means,510,0.750980392157
gmm,510,0.766666666667
kernel k-groups,510,0.778431372549
k-means,530,0.752830188679
gmm,530,0.852830188679
kernel k-groups,530,0.779245283019
k-means,550,0.750909090909
gmm,550,0.794545454545
kernel k-groups,550,0.810909090909
k-means,570,0.766666666667
gmm,570,0.798245614035
kernel k-groups,570,0.843859649123
k-means,590,0.75593220339
gmm,590,0.757627118644
kernel k-groups,590,0.793220338983
k-means,610,0.796721311475
gmm,610,0.87868852459
kernel k-groups,610,0.808196721311
k-means,630,0.774603174603
gmm,630,0.880952380952
kernel k-groups,630,0.806349206349
k-means,650,0.773846153846
gmm,650,0.878461538462
kernel k-groups,650,0.796923076923
k-means,670,0.807462686567
gmm,670,0.837313432836
kernel k-groups,670,0.840298507463
k-means,690,0.794202898551
gmm,690,0.882608695652
kernel k-groups,690,0.810144927536
k-means,710,0.794366197183
gmm,710,0.894366197183
kernel k-groups,710,0.814084507042
k-means,730,0.756164383562
gmm,730,0.869863013699
kernel k-groups,730,0.794520547945
k-means,750,0.797333333333
gmm,750,0.9
kernel k-groups,750,0.826666666667
k-means,770,0.785714285714
gmm,770,0.881818181818
kernel k-groups,770,0.818181818182
k-means,790,0.796202531646
gmm,790,0.881012658228
kernel k-groups,790,0.815189873418
k-means,10,0.9
gmm,10,0.9
kernel k-groups,10,0.9
k-means,30,0.666666666667
gmm,30,0.666666666667
kernel k-groups,30,0.666666666667
k-means,50,0.68
gmm,50,0.7
kernel k-groups,50,0.7
k-means,70,0.771428571429
gmm,70,0.785714285714
kernel k-groups,70,0.785714285714
k-means,90,0.722222222222
gmm,90,0.866666666667
kernel k-groups,90,0.766666666667
k-means,110,0.754545454545
gmm,110,0.818181818182
kernel k-groups,110,0.790909090909
k-means,130,0.8
gmm,130,0.830769230769
kernel k-groups,130,0.815384615385
k-means,150,0.806666666667
gmm,150,0.886666666667
kernel k-groups,150,0.813333333333
k-means,170,0.741176470588
gmm,170,0.829411764706
kernel k-groups,170,0.747058823529
k-means,190,0.773684210526
gmm,190,0.773684210526
kernel k-groups,190,0.773684210526
k-means,210,0.761904761905
gmm,210,0.838095238095
kernel k-groups,210,0.77619047619
k-means,230,0.695652173913
gmm,230,0.85652173913
kernel k-groups,230,0.813043478261
k-means,250,0.776
gmm,250,0.884
kernel k-groups,250,0.788
k-means,270,0.785185185185
gmm,270,0.888888888889
kernel k-groups,270,0.822222222222
k-means,290,0.779310344828
gmm,290,0.910344827586
kernel k-groups,290,0.789655172414
k-means,310,0.767741935484
gmm,310,0.867741935484
kernel k-groups,310,0.796774193548
k-means,330,0.760606060606
gmm,330,0.766666666667
kernel k-groups,330,0.781818181818
k-means,350,0.788571428571
gmm,350,0.802857142857
kernel k-groups,350,0.808571428571
k-means,370,0.72972972973
gmm,370,0.708108108108
kernel k-groups,370,0.77027027027
k-means,390,0.776923076923
gmm,390,0.787179487179
kernel k-groups,390,0.787179487179
k-means,410,0.773170731707
gmm,410,0.887804878049
kernel k-groups,410,0.826829268293
k-means,430,0.776744186047
gmm,430,0.888372093023
kernel k-groups,430,0.790697674419
k-means,450,0.786666666667
gmm,450,0.882222222222
kernel k-groups,450,0.826666666667
k-means,470,0.753191489362
gmm,470,0.753191489362
kernel k-groups,470,0.793617021277
k-means,490,0.761224489796
gmm,490,0.769387755102
kernel k-groups,490,0.8
k-means,510,0.729411764706
gmm,510,0.835294117647
kernel k-groups,510,0.766666666667
k-means,530,0.743396226415
gmm,530,0.833962264151
kernel k-groups,530,0.764150943396
k-means,550,0.754545454545
gmm,550,0.894545454545
kernel k-groups,550,0.792727272727
k-means,570,0.757894736842
gmm,570,0.873684210526
kernel k-groups,570,0.787719298246
k-means,590,0.764406779661
gmm,590,0.876271186441
kernel k-groups,590,0.794915254237
k-means,610,0.762295081967
gmm,610,0.762295081967
kernel k-groups,610,0.783606557377
k-means,630,0.806349206349
gmm,630,0.877777777778
kernel k-groups,630,0.826984126984
k-means,650,0.770769230769
gmm,650,0.88
kernel k-groups,650,0.809230769231
k-means,670,0.767164179104
gmm,670,0.874626865672
kernel k-groups,670,0.783582089552
k-means,690,0.779710144928
gmm,690,0.891304347826
kernel k-groups,690,0.815942028986
k-means,710,0.774647887324
gmm,710,0.874647887324
kernel k-groups,710,0.792957746479
k-means,730,0.779452054795
gmm,730,0.901369863014
kernel k-groups,730,0.831506849315
k-means,750,0.778666666667
gmm,750,0.902666666667
kernel k-groups,750,0.796
k-means,770,0.772727272727
gmm,770,0.88961038961
kernel k-groups,770,0.794805194805
k-means,790,0.762025316456
gmm,790,0.845569620253
kernel k-groups,790,0.772151898734
k-means,10,0.9
gmm,10,0.9
kernel k-groups,10,0.9
k-means,30,0.733333333333
gmm,30,0.833333333333
kernel k-groups,30,0.733333333333
k-means,50,0.82
gmm,50,0.68
kernel k-groups,50,0.82
k-means,70,0.7
gmm,70,0.757142857143
kernel k-groups,70,0.771428571429
k-means,90,0.655555555556
gmm,90,0.655555555556
kernel k-groups,90,0.8
k-means,110,0.745454545455
gmm,110,0.736363636364
kernel k-groups,110,0.754545454545
k-means,130,0.761538461538
gmm,130,0.9
kernel k-groups,130,0.761538461538
k-means,150,0.753333333333
gmm,150,0.753333333333
kernel k-groups,150,0.773333333333
k-means,170,0.735294117647
gmm,170,0.717647058824
kernel k-groups,170,0.805882352941
k-means,190,0.836842105263
gmm,190,0.9
kernel k-groups,190,0.847368421053
k-means,210,0.728571428571
gmm,210,0.819047619048
kernel k-groups,210,0.757142857143
k-means,230,0.739130434783
gmm,230,0.834782608696
kernel k-groups,230,0.782608695652
k-means,250,0.748
gmm,250,0.868
kernel k-groups,250,0.796
k-means,270,0.825925925926
gmm,270,0.892592592593
kernel k-groups,270,0.833333333333
k-means,290,0.796551724138
gmm,290,0.879310344828
kernel k-groups,290,0.834482758621
k-means,310,0.745161290323
gmm,310,0.754838709677
kernel k-groups,310,0.754838709677
k-means,330,0.736363636364
gmm,330,0.860606060606
kernel k-groups,330,0.769696969697
k-means,350,0.76
gmm,350,0.88
kernel k-groups,350,0.791428571429
k-means,370,0.805405405405
gmm,370,0.894594594595
kernel k-groups,370,0.851351351351
k-means,390,0.784615384615
gmm,390,0.887179487179
kernel k-groups,390,0.823076923077
k-means,410,0.79512195122
gmm,410,0.89512195122
kernel k-groups,410,0.826829268293
k-means,430,0.816279069767
gmm,430,0.916279069767
kernel k-groups,430,0.855813953488
k-means,450,0.811111111111
gmm,450,0.877777777778
kernel k-groups,450,0.833333333333
k-means,470,0.789361702128
gmm,470,0.887234042553
kernel k-groups,470,0.806382978723
k-means,490,0.742857142857
gmm,490,0.861224489796
kernel k-groups,490,0.791836734694
k-means,510,0.81568627451
gmm,510,0.903921568627
kernel k-groups,510,0.843137254902
k-means,530,0.77358490566
gmm,530,0.771698113208
kernel k-groups,530,0.796226415094
k-means,550,0.796363636364
gmm,550,0.910909090909
kernel k-groups,550,0.829090909091
k-means,570,0.761403508772
gmm,570,0.878947368421
kernel k-groups,570,0.80350877193
k-means,590,0.764406779661
gmm,590,0.776271186441
kernel k-groups,590,0.791525423729
k-means,610,0.74262295082
gmm,610,0.745901639344
kernel k-groups,610,0.755737704918
k-means,630,0.766666666667
gmm,630,0.750793650794
kernel k-groups,630,0.787301587302
k-means,650,0.803076923077
gmm,650,0.9
kernel k-groups,650,0.816923076923
k-means,670,0.746268656716
gmm,670,0.874626865672
kernel k-groups,670,0.776119402985
k-means,690,0.779710144928
gmm,690,0.894202898551
kernel k-groups,690,0.817391304348
k-means,710,0.77323943662
gmm,710,0.89014084507
kernel k-groups,710,0.802816901408
k-means,730,0.77397260274
gmm,730,0.88904109589
kernel k-groups,730,0.81095890411
k-means,750,0.785333333333
gmm,750,0.889333333333
kernel k-groups,750,0.818666666667
k-means,770,0.767532467532
gmm,770,0.88961038961
kernel k-groups,770,0.816883116883
k-means,790,0.786075949367
gmm,790,0.874683544304
kernel k-groups,790,0.807594936709
k-means,10,0.8
gmm,10,0.9
kernel k-groups,10,0.8
k-means,30,0.9
gmm,30,0.566666666667
kernel k-groups,30,0.9
k-means,50,0.74
gmm,50,0.82
kernel k-groups,50,0.78
k-means,70,0.728571428571
gmm,70,0.728571428571
kernel k-groups,70,0.728571428571
k-means,90,0.755555555556
gmm,90,0.866666666667
kernel k-groups,90,0.822222222222
k-means,110,0.718181818182
gmm,110,0.936363636364
kernel k-groups,110,0.845454545455
k-means,130,0.815384615385
gmm,130,0.869230769231
kernel k-groups,130,0.861538461538
k-means,150,0.766666666667
gmm,150,0.886666666667
kernel k-groups,150,0.806666666667
k-means,170,0.752941176471
gmm,170,0.882352941176
kernel k-groups,170,0.858823529412
k-means,190,0.815789473684
gmm,190,0.857894736842
kernel k-groups,190,0.826315789474
k-means,210,0.766666666667
gmm,210,0.790476190476
kernel k-groups,210,0.804761904762
k-means,230,0.786956521739
gmm,230,0.882608695652
kernel k-groups,230,0.817391304348
k-means,250,0.76
gmm,250,0.872
kernel k-groups,250,0.824
k-means,270,0.774074074074
gmm,270,0.781481481481
kernel k-groups,270,0.785185185185
k-means,290,0.751724137931
gmm,290,0.865517241379
kernel k-groups,290,0.8
