method,points,accuracy
gmm,100,0.9
spectral clustering,100,0.88
kernel k-means,100,0.893333333333
kernel k-groups,100,0.896666666667
k-means,110,0.883333333333
gmm,110,0.9
spectral clustering,110,0.886666666667
kernel k-means,110,0.89
kernel k-groups,110,0.89
k-means,120,0.91
gmm,120,0.916666666667
spectral clustering,120,0.893333333333
kernel k-means,120,0.91
kernel k-groups,120,0.91
k-means,130,0.86
gmm,130,0.866666666667
spectral clustering,130,0.853333333333
kernel k-means,130,0.86
kernel k-groups,130,0.853333333333
k-means,140,0.913333333333
gmm,140,0.936666666667
spectral clustering,140,0.913333333333
kernel k-means,140,0.913333333333
kernel k-groups,140,0.913333333333
k-means,150,0.903333333333
gmm,150,0.886666666667
spectral clustering,150,0.913333333333
kernel k-means,150,0.906666666667
kernel k-groups,150,0.896666666667
k-means,160,0.923333333333
gmm,160,0.936666666667
spectral clustering,160,0.896666666667
kernel k-means,160,0.886666666667
kernel k-groups,160,0.896666666667
k-means,170,0.87
gmm,170,0.893333333333
spectral clustering,170,0.86
kernel k-means,170,0.863333333333
kernel k-groups,170,0.863333333333
k-means,180,0.936666666667
gmm,180,0.913333333333
spectral clustering,180,0.933333333333
kernel k-means,180,0.933333333333
kernel k-groups,180,0.933333333333
k-means,190,0.89
gmm,190,0.956666666667
spectral clustering,190,0.853333333333
kernel k-means,190,0.89
kernel k-groups,190,0.893333333333
k-means,200,0.913333333333
gmm,200,0.886666666667
spectral clustering,200,0.85
kernel k-means,200,0.593333333333
kernel k-groups,200,0.59
k-means,210,0.78
gmm,210,0.843333333333
spectral clustering,210,0.693333333333
kernel k-means,210,0.59
kernel k-groups,210,0.656666666667
k-means,220,0.576666666667
gmm,220,0.93
spectral clustering,220,0.583333333333
kernel k-means,220,0.56
kernel k-groups,220,0.573333333333
k-means,230,0.923333333333
gmm,230,0.9
spectral clustering,230,0.976666666667
kernel k-means,230,0.693333333333
kernel k-groups,230,0.676666666667
k-means,240,0.543333333333
gmm,240,0.85
spectral clustering,240,0.516666666667
kernel k-means,240,0.533333333333
kernel k-groups,240,0.53
k-means,0,0.903333333333
gmm,0,0.896666666667
spectral clustering,0,0.886666666667
kernel k-means,0,0.913333333333
kernel k-groups,0,0.913333333333
k-means,10,0.883333333333
gmm,10,0.88
spectral clustering,10,0.856666666667
kernel k-means,10,0.883333333333
kernel k-groups,10,0.883333333333
k-means,20,0.873333333333
gmm,20,0.86
spectral clustering,20,0.843333333333
kernel k-means,20,0.876666666667
kernel k-groups,20,0.876666666667
k-means,30,0.89
gmm,30,0.9
spectral clustering,30,0.876666666667
kernel k-means,30,0.9
kernel k-groups,30,0.89
k-means,40,0.913333333333
gmm,40,0.893333333333
spectral clustering,40,0.896666666667
kernel k-means,40,0.91
kernel k-groups,40,0.913333333333
k-means,50,0.92
gmm,50,0.903333333333
spectral clustering,50,0.906666666667
kernel k-means,50,0.916666666667
kernel k-groups,50,0.92
k-means,60,0.89
gmm,60,0.906666666667
spectral clustering,60,0.856666666667
kernel k-means,60,0.89
kernel k-groups,60,0.89
k-means,70,0.913333333333
gmm,70,0.91
spectral clustering,70,0.896666666667
kernel k-means,70,0.913333333333
kernel k-groups,70,0.913333333333
k-means,80,0.906666666667
gmm,80,0.91
spectral clustering,80,0.896666666667
kernel k-means,80,0.9
kernel k-groups,80,0.91
k-means,90,0.88
gmm,90,0.87
spectral clustering,90,0.893333333333
kernel k-means,90,0.88
kernel k-groups,90,0.88
k-means,100,0.926666666667
gmm,100,0.923333333333
spectral clustering,100,0.903333333333
kernel k-means,100,0.923333333333
kernel k-groups,100,0.923333333333
k-means,110,0.916666666667
gmm,110,0.903333333333
spectral clustering,110,0.886666666667
kernel k-means,110,0.916666666667
kernel k-groups,110,0.916666666667
k-means,120,0.91
gmm,120,0.916666666667
spectral clustering,120,0.9
kernel k-means,120,0.913333333333
kernel k-groups,120,0.913333333333
k-means,130,0.893333333333
gmm,130,0.893333333333
spectral clustering,130,0.86
kernel k-means,130,0.886666666667
kernel k-groups,130,0.88
k-means,140,0.933333333333
gmm,140,0.94
spectral clustering,140,0.926666666667
kernel k-means,140,0.933333333333
kernel k-groups,140,0.933333333333
k-means,150,0.91
gmm,150,0.913333333333
spectral clustering,150,0.713333333333
kernel k-means,150,0.883333333333
kernel k-groups,150,0.866666666667
k-means,160,0.856666666667
gmm,160,0.846666666667
spectral clustering,160,0.586666666667
kernel k-means,160,0.856666666667
kernel k-groups,160,0.856666666667
k-means,170,0.893333333333
gmm,170,0.903333333333
spectral clustering,170,0.886666666667
kernel k-means,170,0.886666666667
kernel k-groups,170,0.896666666667
k-means,180,0.666666666667
gmm,180,0.873333333333
spectral clustering,180,0.513333333333
kernel k-means,180,0.66
kernel k-groups,180,0.706666666667
k-means,190,0.89
gmm,190,0.866666666667
spectral clustering,190,0.946666666667
kernel k-means,190,0.563333333333
kernel k-groups,190,0.913333333333
k-means,200,0.51
gmm,200,0.81
spectral clustering,200,0.503333333333
kernel k-means,200,0.526666666667
kernel k-groups,200,0.516666666667
k-means,210,0.883333333333
gmm,210,0.92
spectral clustering,210,0.733333333333
kernel k-means,210,0.62
kernel k-groups,210,0.57
k-means,220,0.533333333333
gmm,220,0.506666666667
spectral clustering,220,0.533333333333
kernel k-means,220,0.523333333333
kernel k-groups,220,0.516666666667
k-means,230,0.786666666667
gmm,230,0.893333333333
spectral clustering,230,0.643333333333
kernel k-means,230,0.613333333333
kernel k-groups,230,0.623333333333
k-means,240,0.6
gmm,240,0.91
spectral clustering,240,0.57
kernel k-means,240,0.593333333333
kernel k-groups,240,0.593333333333
k-means,0,0.873333333333
gmm,0,0.863333333333
spectral clustering,0,0.836666666667
kernel k-means,0,0.866666666667
kernel k-groups,0,0.866666666667
k-means,10,0.876666666667
gmm,10,0.863333333333
spectral clustering,10,0.823333333333
kernel k-means,10,0.886666666667
kernel k-groups,10,0.886666666667
k-means,20,0.876666666667
gmm,20,0.883333333333
spectral clustering,20,0.873333333333
kernel k-means,20,0.876666666667
kernel k-groups,20,0.886666666667
k-means,30,0.87
gmm,30,0.863333333333
spectral clustering,30,0.83
kernel k-means,30,0.866666666667
kernel k-groups,30,0.866666666667
k-means,40,0.91
gmm,40,0.916666666667
spectral clustering,40,0.883333333333
kernel k-means,40,0.91
kernel k-groups,40,0.91
k-means,50,0.873333333333
gmm,50,0.863333333333
spectral clustering,50,0.84
kernel k-means,50,0.873333333333
kernel k-groups,50,0.873333333333
k-means,60,0.896666666667
gmm,60,0.88
spectral clustering,60,0.883333333333
kernel k-means,60,0.893333333333
kernel k-groups,60,0.9
k-means,70,0.87
gmm,70,0.85
spectral clustering,70,0.853333333333
kernel k-means,70,0.88
kernel k-groups,70,0.87
k-means,80,0.826666666667
gmm,80,0.856666666667
spectral clustering,80,0.793333333333
kernel k-means,80,0.806666666667
kernel k-groups,80,0.82
k-means,90,0.91
gmm,90,0.906666666667
spectral clustering,90,0.82
kernel k-means,90,0.91
kernel k-groups,90,0.91
k-means,100,0.88
gmm,100,0.896666666667
spectral clustering,100,0.883333333333
kernel k-means,100,0.88
kernel k-groups,100,0.88
k-means,110,0.913333333333
gmm,110,0.903333333333
spectral clustering,110,0.86
kernel k-means,110,0.913333333333
kernel k-groups,110,0.916666666667
k-means,120,0.9
gmm,120,0.923333333333
spectral clustering,120,0.896666666667
kernel k-means,120,0.906666666667
kernel k-groups,120,0.906666666667
k-means,130,0.953333333333
gmm,130,0.956666666667
spectral clustering,130,0.926666666667
kernel k-means,130,0.953333333333
kernel k-groups,130,0.953333333333
k-means,140,0.883333333333
gmm,140,0.933333333333
spectral clustering,140,0.916666666667
kernel k-means,140,0.886666666667
kernel k-groups,140,0.883333333333
k-means,150,0.9
gmm,150,0.923333333333
spectral clustering,150,0.89
kernel k-means,150,0.893333333333
kernel k-groups,150,0.893333333333
k-means,160,0.873333333333
gmm,160,0.903333333333
spectral clustering,160,0.886666666667
kernel k-means,160,0.833333333333
kernel k-groups,160,0.833333333333
k-means,170,0.913333333333
gmm,170,0.926666666667
spectral clustering,170,0.843333333333
kernel k-means,170,0.91
kernel k-groups,170,0.91
k-means,180,0.846666666667
gmm,180,0.833333333333
spectral clustering,180,0.566666666667
kernel k-means,180,0.853333333333
kernel k-groups,180,0.84
k-means,190,0.933333333333
gmm,190,0.873333333333
spectral clustering,190,0.696666666667
kernel k-means,190,0.663333333333
kernel k-groups,190,0.703333333333
k-means,200,0.546666666667
gmm,200,0.93
spectral clustering,200,0.546666666667
kernel k-means,200,0.566666666667
kernel k-groups,200,0.543333333333
k-means,210,0.67
gmm,210,0.896666666667
spectral clustering,210,0.556666666667
kernel k-means,210,0.63
kernel k-groups,210,0.616666666667
k-means,220,0.58
gmm,220,0.943333333333
spectral clustering,220,0.573333333333
kernel k-means,220,0.576666666667
kernel k-groups,220,0.576666666667
k-means,230,0.57
gmm,230,0.846666666667
spectral clustering,230,0.566666666667
kernel k-means,230,0.503333333333
kernel k-groups,230,0.5
k-means,240,0.566666666667
gmm,240,0.85
spectral clustering,240,0.543333333333
kernel k-means,240,0.546666666667
kernel k-groups,240,0.56
k-means,0,0.896666666667
gmm,0,0.9
spectral clustering,0,0.86
kernel k-means,0,0.906666666667
kernel k-groups,0,0.906666666667
k-means,10,0.876666666667
gmm,10,0.85
spectral clustering,10,0.823333333333
kernel k-means,10,0.87
kernel k-groups,10,0.88
k-means,20,0.873333333333
gmm,20,0.893333333333
spectral clustering,20,0.87
kernel k-means,20,0.89
kernel k-groups,20,0.89
k-means,30,0.89
gmm,30,0.903333333333
spectral clustering,30,0.87
kernel k-means,30,0.886666666667
kernel k-groups,30,0.886666666667
k-means,40,0.94
gmm,40,0.93
spectral clustering,40,0.916666666667
kernel k-means,40,0.933333333333
kernel k-groups,40,0.933333333333
k-means,50,0.89
gmm,50,0.89
spectral clustering,50,0.886666666667
kernel k-means,50,0.88
kernel k-groups,50,0.88
k-means,60,0.893333333333
gmm,60,0.89
spectral clustering,60,0.876666666667
kernel k-means,60,0.9
kernel k-groups,60,0.903333333333
k-means,70,0.883333333333
gmm,70,0.89
spectral clustering,70,0.883333333333
kernel k-means,70,0.876666666667
kernel k-groups,70,0.88
k-means,80,0.906666666667
gmm,80,0.903333333333
spectral clustering,80,0.89
kernel k-means,80,0.903333333333
kernel k-groups,80,0.9
k-means,90,0.886666666667
gmm,90,0.876666666667
spectral clustering,90,0.883333333333
kernel k-means,90,0.88
kernel k-groups,90,0.893333333333
k-means,100,0.87
gmm,100,0.856666666667
spectral clustering,100,0.846666666667
kernel k-means,100,0.873333333333
kernel k-groups,100,0.876666666667
k-means,110,0.9
gmm,110,0.91
spectral clustering,110,0.876666666667
kernel k-means,110,0.896666666667
kernel k-groups,110,0.896666666667
k-means,120,0.876666666667
gmm,120,0.89
spectral clustering,120,0.86
kernel k-means,120,0.87
kernel k-groups,120,0.88
k-means,130,0.92
gmm,130,0.92
spectral clustering,130,0.87
kernel k-means,130,0.913333333333
kernel k-groups,130,0.92
k-means,140,0.896666666667
gmm,140,0.896666666667
spectral clustering,140,0.9
kernel k-means,140,0.886666666667
kernel k-groups,140,0.893333333333
k-means,150,0.863333333333
gmm,150,0.876666666667
spectral clustering,150,0.866666666667
kernel k-means,150,0.863333333333
kernel k-groups,150,0.863333333333
k-means,160,0.923333333333
gmm,160,0.93
spectral clustering,160,0.92
kernel k-means,160,0.926666666667
kernel k-groups,160,0.926666666667
k-means,170,0.793333333333
gmm,170,0.816666666667
spectral clustering,170,0.81
kernel k-means,170,0.756666666667
kernel k-groups,170,0.756666666667
k-means,180,0.726666666667
gmm,180,0.956666666667
spectral clustering,180,0.53
kernel k-means,180,0.603333333333
kernel k-groups,180,0.596666666667
k-means,190,0.603333333333
gmm,190,0.883333333333
spectral clustering,190,0.6
kernel k-means,190,0.636666666667
kernel k-groups,190,0.736666666667
k-means,200,0.756666666667
gmm,200,0.753333333333
spectral clustering,200,0.633333333333
kernel k-means,200,0.67
kernel k-groups,200,0.663333333333
k-means,210,0.63
gmm,210,0.81
spectral clustering,210,0.51
kernel k-means,210,0.546666666667
kernel k-groups,210,0.526666666667
k-means,220,0.593333333333
gmm,220,0.946666666667
spectral clustering,220,0.78
kernel k-means,220,0.566666666667
kernel k-groups,220,0.586666666667
k-means,230,0.603333333333
gmm,230,0.94
spectral clustering,230,0.546666666667
kernel k-means,230,0.55
kernel k-groups,230,0.553333333333
k-means,240,0.5
gmm,240,0.813333333333
spectral clustering,240,0.536666666667
kernel k-means,240,0.52
kernel k-groups,240,0.5
k-means,0,0.89
gmm,0,0.9
spectral clustering,0,0.82
kernel k-means,0,0.906666666667
kernel k-groups,0,0.906666666667
k-means,10,0.913333333333
gmm,10,0.916666666667
spectral clustering,10,0.88
kernel k-means,10,0.906666666667
kernel k-groups,10,0.91
k-means,20,0.863333333333
gmm,20,0.863333333333
spectral clustering,20,0.846666666667
kernel k-means,20,0.863333333333
kernel k-groups,20,0.866666666667
k-means,30,0.903333333333
gmm,30,0.903333333333
spectral clustering,30,0.886666666667
kernel k-means,30,0.903333333333
kernel k-groups,30,0.896666666667
k-means,40,0.926666666667
gmm,40,0.923333333333
spectral clustering,40,0.92
kernel k-means,40,0.926666666667
kernel k-groups,40,0.926666666667
k-means,50,0.896666666667
gmm,50,0.883333333333
spectral clustering,50,0.886666666667
kernel k-means,50,0.906666666667
kernel k-groups,50,0.9
k-means,60,0.896666666667
gmm,60,0.89
spectral clustering,60,0.876666666667
kernel k-means,60,0.893333333333
kernel k-groups,60,0.896666666667
k-means,70,0.893333333333
gmm,70,0.89
spectral clustering,70,0.856666666667
kernel k-means,70,0.89
kernel k-groups,70,0.883333333333
k-means,80,0.92
gmm,80,0.926666666667
spectral clustering,80,0.876666666667
kernel k-means,80,0.92
kernel k-groups,80,0.92
k-means,90,0.913333333333
gmm,90,0.9
spectral clustering,90,0.893333333333
kernel k-means,90,0.913333333333
kernel k-groups,90,0.913333333333
k-means,100,0.9
gmm,100,0.92
spectral clustering,100,0.9
kernel k-means,100,0.903333333333
kernel k-groups,100,0.903333333333
k-means,110,0.9
gmm,110,0.906666666667
spectral clustering,110,0.92
kernel k-means,110,0.903333333333
kernel k-groups,110,0.913333333333
k-means,120,0.9
gmm,120,0.893333333333
spectral clustering,120,0.91
kernel k-means,120,0.886666666667
kernel k-groups,120,0.886666666667
k-means,130,0.9
gmm,130,0.916666666667
spectral clustering,130,0.906666666667
kernel k-means,130,0.9
kernel k-groups,130,0.9
k-means,140,0.863333333333
gmm,140,0.883333333333
spectral clustering,140,0.733333333333
kernel k-means,140,0.846666666667
kernel k-groups,140,0.856666666667
k-means,150,0.883333333333
gmm,150,0.896666666667
spectral clustering,150,0.856666666667
kernel k-means,150,0.886666666667
kernel k-groups,150,0.886666666667
k-means,160,0.906666666667
gmm,160,0.91
spectral clustering,160,0.933333333333
kernel k-means,160,0.903333333333
kernel k-groups,160,0.903333333333
k-means,170,0.916666666667
gmm,170,0.913333333333
spectral clustering,170,0.916666666667
kernel k-means,170,0.92
kernel k-groups,170,0.916666666667
k-means,180,0.743333333333
gmm,180,0.94
spectral clustering,180,0.556666666667
kernel k-means,180,0.716666666667
kernel k-groups,180,0.526666666667
k-means,190,0.916666666667
gmm,190,0.91
spectral clustering,190,0.86
kernel k-means,190,0.643333333333
kernel k-groups,190,0.65
k-means,200,0.946666666667
gmm,200,0.933333333333
spectral clustering,200,0.95
kernel k-means,200,0.66
kernel k-groups,200,0.663333333333
k-means,210,0.646666666667
gmm,210,0.873333333333
spectral clustering,210,0.57
kernel k-means,210,0.633333333333
kernel k-groups,210,0.636666666667
k-means,220,0.91
gmm,220,0.933333333333
spectral clustering,220,0.836666666667
kernel k-means,220,0.91
kernel k-groups,220,0.9
k-means,230,0.586666666667
gmm,230,0.88
spectral clustering,230,0.62
kernel k-means,230,0.563333333333
kernel k-groups,230,0.59
k-means,240,0.543333333333
gmm,240,0.903333333333
spectral clustering,240,0.533333333333
kernel k-means,240,0.54
kernel k-groups,240,0.54
k-means,0,0.87
gmm,0,0.87
spectral clustering,0,0.843333333333
kernel k-means,0,0.863333333333
kernel k-groups,0,0.863333333333
k-means,10,0.89
gmm,10,0.89
spectral clustering,10,0.873333333333
kernel k-means,10,0.893333333333
kernel k-groups,10,0.893333333333
k-means,20,0.89
gmm,20,0.89
spectral clustering,20,0.873333333333
kernel k-means,20,0.89
kernel k-groups,20,0.89
k-means,30,0.89
gmm,30,0.896666666667
spectral clustering,30,0.866666666667
kernel k-means,30,0.913333333333
kernel k-groups,30,0.913333333333
k-means,40,0.893333333333
gmm,40,0.903333333333
spectral clustering,40,0.893333333333
kernel k-means,40,0.893333333333
kernel k-groups,40,0.893333333333
k-means,50,0.943333333333
gmm,50,0.936666666667
spectral clustering,50,0.933333333333
kernel k-means,50,0.946666666667
kernel k-groups,50,0.946666666667
k-means,60,0.91
gmm,60,0.903333333333
spectral clustering,60,0.89
kernel k-means,60,0.913333333333
kernel k-groups,60,0.91
k-means,70,0.923333333333
gmm,70,0.93
spectral clustering,70,0.906666666667
kernel k-means,70,0.923333333333
kernel k-groups,70,0.92
k-means,80,0.933333333333
gmm,80,0.913333333333
spectral clustering,80,0.903333333333
kernel k-means,80,0.933333333333
kernel k-groups,80,0.933333333333
k-means,90,0.926666666667
gmm,90,0.906666666667
spectral clustering,90,0.89
kernel k-means,90,0.923333333333
kernel k-groups,90,0.923333333333
k-means,100,0.923333333333
gmm,100,0.93
spectral clustering,100,0.906666666667
kernel k-means,100,0.923333333333
kernel k-groups,100,0.923333333333
k-means,110,0.913333333333
gmm,110,0.91
spectral clustering,110,0.91
kernel k-means,110,0.91
kernel k-groups,110,0.91
k-means,120,0.913333333333
gmm,120,0.913333333333
spectral clustering,120,0.863333333333
kernel k-means,120,0.913333333333
kernel k-groups,120,0.903333333333
k-means,130,0.883333333333
gmm,130,0.88
spectral clustering,130,0.893333333333
kernel k-means,130,0.863333333333
kernel k-groups,130,0.88
k-means,140,0.916666666667
gmm,140,0.923333333333
spectral clustering,140,0.91
kernel k-means,140,0.893333333333
kernel k-groups,140,0.896666666667
k-means,150,0.896666666667
gmm,150,0.95
spectral clustering,150,0.863333333333
kernel k-means,150,0.9
kernel k-groups,150,0.9
k-means,160,0.903333333333
gmm,160,0.92
spectral clustering,160,0.926666666667
kernel k-means,160,0.896666666667
kernel k-groups,160,0.89
k-means,170,0.903333333333
gmm,170,0.91
spectral clustering,170,0.903333333333
kernel k-means,170,0.886666666667
kernel k-groups,170,0.903333333333
k-means,180,0.836666666667
gmm,180,0.81
spectral clustering,180,0.71
kernel k-means,180,0.726666666667
kernel k-groups,180,0.806666666667
k-means,190,0.896666666667
gmm,190,0.91
spectral clustering,190,0.83
kernel k-means,190,0.583333333333
kernel k-groups,190,0.58
k-means,200,0.873333333333
gmm,200,0.846666666667
spectral clustering,200,0.823333333333
kernel k-means,200,0.806666666667
kernel k-groups,200,0.8
k-means,210,0.703333333333
gmm,210,0.9
spectral clustering,210,0.886666666667
kernel k-means,210,0.753333333333
kernel k-groups,210,0.74
k-means,220,0.67
gmm,220,0.946666666667
spectral clustering,220,0.69
kernel k-means,220,0.613333333333
kernel k-groups,220,0.636666666667
k-means,230,0.593333333333
gmm,230,0.916666666667
spectral clustering,230,0.56
kernel k-means,230,0.583333333333
kernel k-groups,230,0.556666666667
k-means,240,0.573333333333
gmm,240,0.816666666667
spectral clustering,240,0.573333333333
kernel k-means,240,0.576666666667
kernel k-groups,240,0.576666666667
