method,points,accuracy
spectral clustering $\widetilde{\rho}_1$,400,0.8425
kernel k-groups $\rho_{1}$,400,0.7375
kernel k-groups $\rho_{1/2}$,400,0.765
kernel k-groups $\widetilde{\rho}_{1}$,400,0.865
k-means,10,0.7
gmm,10,0.7
spectral clustering $\widetilde{\rho}_1$,10,0.7
kernel k-groups $\rho_{1}$,10,0.6
kernel k-groups $\rho_{1/2}$,10,0.6
kernel k-groups $\widetilde{\rho}_{1}$,10,0.7
k-means,20,0.7
gmm,20,0.55
spectral clustering $\widetilde{\rho}_1$,20,0.65
kernel k-groups $\rho_{1}$,20,0.75
kernel k-groups $\rho_{1/2}$,20,0.75
kernel k-groups $\widetilde{\rho}_{1}$,20,0.75
k-means,30,0.6
gmm,30,0.533333333333
spectral clustering $\widetilde{\rho}_1$,30,0.666666666667
kernel k-groups $\rho_{1}$,30,0.7
kernel k-groups $\rho_{1/2}$,30,0.7
kernel k-groups $\widetilde{\rho}_{1}$,30,0.766666666667
k-means,40,0.55
gmm,40,0.575
spectral clustering $\widetilde{\rho}_1$,40,0.825
kernel k-groups $\rho_{1}$,40,0.55
kernel k-groups $\rho_{1/2}$,40,0.55
kernel k-groups $\widetilde{\rho}_{1}$,40,0.825
k-means,50,0.7
gmm,50,0.58
spectral clustering $\widetilde{\rho}_1$,50,0.8
kernel k-groups $\rho_{1}$,50,0.56
kernel k-groups $\rho_{1/2}$,50,0.54
kernel k-groups $\widetilde{\rho}_{1}$,50,0.82
k-means,60,0.566666666667
gmm,60,0.6
spectral clustering $\widetilde{\rho}_1$,60,0.683333333333
kernel k-groups $\rho_{1}$,60,0.516666666667
kernel k-groups $\rho_{1/2}$,60,0.516666666667
kernel k-groups $\widetilde{\rho}_{1}$,60,0.716666666667
k-means,70,0.714285714286
gmm,70,0.685714285714
spectral clustering $\widetilde{\rho}_1$,70,0.614285714286
kernel k-groups $\rho_{1}$,70,0.771428571429
kernel k-groups $\rho_{1/2}$,70,0.8
kernel k-groups $\widetilde{\rho}_{1}$,70,0.885714285714
k-means,80,0.525
gmm,80,0.6875
spectral clustering $\widetilde{\rho}_1$,80,0.675
kernel k-groups $\rho_{1}$,80,0.525
kernel k-groups $\rho_{1/2}$,80,0.5875
kernel k-groups $\widetilde{\rho}_{1}$,80,0.875
k-means,90,0.666666666667
gmm,90,0.633333333333
spectral clustering $\widetilde{\rho}_1$,90,0.833333333333
kernel k-groups $\rho_{1}$,90,0.877777777778
kernel k-groups $\rho_{1/2}$,90,0.877777777778
kernel k-groups $\widetilde{\rho}_{1}$,90,0.911111111111
k-means,100,0.74
gmm,100,0.62
spectral clustering $\widetilde{\rho}_1$,100,0.82
kernel k-groups $\rho_{1}$,100,0.76
kernel k-groups $\rho_{1/2}$,100,0.8
kernel k-groups $\widetilde{\rho}_{1}$,100,0.9
